spark.executor.cores,spark.memory.fraction,spark.executor.memoryOverhead,spark.reducer.maxReqsInFlight,spark.shuffle.compress,runtime
6.0,0.6841269841269841,1450.0,1491880281.0,0.0,317.8177700000001
7.0,0.6968253968253968,1395.0,2076756416.0,1.0,317.75302000000005
6.0,0.6904761904761905,1165.0,1641492228.0,0.0,317.75302000000005
6.0,0.7031746031746031,1211.0,1329484898.0,0.0,317.7284900000001
6.0,0.7095238095238096,1343.0,1946047522.0,0.0,317.7284900000001
5.0,0.6968253968253968,696.0,1827473902.0,1.0,317.75302000000005
7.0,0.6968253968253968,1537.0,1723766631.0,1.0,317.75302000000005
7.0,0.6968253968253968,1540.0,1698075384.0,1.0,317.75302000000005
4.0,0.6968253968253968,691.0,1559139565.0,1.0,317.75302000000005
7.0,0.6904761904761905,1489.0,1651809638.0,1.0,317.75302000000005
6.0,0.7031746031746031,1653.0,1860891140.0,0.0,317.7284900000001
4.0,0.7031746031746031,702.0,1785131524.0,1.0,317.7284900000001
6.0,0.7095238095238096,716.0,2011570623.0,0.0,317.7284900000001
6.0,0.6968253968253968,886.0,1270220232.0,1.0,317.75302000000005
7.0,0.6904761904761905,1129.0,1743029706.0,1.0,317.75302000000005
6.0,0.6968253968253968,1743.0,1362198703.0,0.0,317.75302000000005
7.0,0.7031746031746031,630.0,1125386212.0,1.0,317.7284900000001
7.0,0.7095238095238096,1517.0,1405721141.0,1.0,317.7284900000001
6.0,0.7095238095238096,695.0,1144580041.0,1.0,317.7284900000001
5.0,0.7095238095238096,1336.0,1111283439.0,0.0,317.7284900000001
4.0,0.7095238095238096,399.0,2134736934.0,0.0,317.7284900000001
4.0,0.7031746031746031,460.0,1467459627.0,1.0,317.7284900000001
4.0,0.7031746031746031,782.0,1207403749.0,1.0,317.7284900000001
4.0,0.7031746031746031,971.0,1900782121.0,0.0,317.7284900000001
7.0,0.7031746031746031,1238.0,2032968482.0,1.0,317.7284900000001
6.0,0.7031746031746031,1644.0,1395859500.0,0.0,317.7284900000001
6.0,0.7031746031746031,1301.0,2008950052.0,1.0,317.7284900000001
5.0,0.6968253968253968,519.0,2060183289.0,1.0,317.75302000000005
6.0,0.6968253968253968,535.0,1397000115.0,1.0,317.75302000000005
6.0,0.7095238095238096,754.0,1741669290.0,0.0,317.7284900000001
