spark.shuffle.file.buffer,spark.executor.memoryOverhead,spark.shuffle.io.numConnectionsPerPeer,spark.reducer.maxBlocksInFlightPerAddress,spark.memory.storageFraction,spark.executor.instances,spark.reducer.maxSizeInFlight,spark.shuffle.compress,spark.storage.memoryMapThreshold,runtime
45.0,1289.0,3.0,1975135662.0,0.6777777777777778,10.0,26.0,1.0,5.0,265.9777857142857
47.0,1326.0,5.0,1920166344.0,0.5190476190476191,10.0,29.0,1.0,5.0,265.9777857142857
47.0,1623.0,5.0,1934826856.0,0.5063492063492063,10.0,29.0,1.0,5.0,265.9777857142857
44.0,1694.0,4.0,1371724904.0,0.5,11.0,26.0,1.0,5.0,265.9777857142857
44.0,1706.0,3.0,1850657463.0,0.607936507936508,11.0,42.0,1.0,6.0,265.9777857142857
45.0,1742.0,3.0,1916980364.0,0.5126984126984127,14.0,37.0,1.0,3.0,265.9777857142857
44.0,1459.0,3.0,1549585996.0,0.5126984126984127,10.0,45.0,1.0,5.0,265.9777857142857
47.0,1257.0,3.0,1499774029.0,0.5952380952380952,8.0,53.0,0.0,3.0,265.5945555555556
45.0,1602.0,3.0,1177631976.0,0.5380952380952381,11.0,64.0,1.0,3.0,265.9777857142857
45.0,1549.0,1.0,1817059257.0,0.6523809523809524,11.0,59.0,0.0,1.0,265.9777857142857
46.0,1245.0,1.0,1213906153.0,0.665079365079365,9.0,62.0,0.0,9.0,265.5945555555556
45.0,1644.0,2.0,1353611584.0,0.5063492063492063,11.0,40.0,0.0,7.0,265.9777857142857
46.0,1247.0,2.0,1301358536.0,0.5888888888888889,14.0,44.0,0.0,5.0,265.5945555555556
48.0,1247.0,2.0,1307847440.0,0.5634920634920635,14.0,69.0,0.0,3.0,265.5945555555556
46.0,1247.0,2.0,1296824353.0,0.5507936507936508,11.0,63.0,0.0,5.0,265.5945555555556
46.0,1247.0,1.0,1297086561.0,0.5507936507936508,11.0,66.0,0.0,5.0,265.5945555555556
44.0,1379.0,1.0,1375029808.0,0.5317460317460317,14.0,38.0,0.0,7.0,265.9777857142857
44.0,1724.0,1.0,1941552104.0,0.5698412698412698,12.0,41.0,0.0,7.0,265.9777857142857
48.0,1713.0,3.0,1873341113.0,0.5190476190476191,11.0,57.0,0.0,1.0,265.9777857142857
44.0,1503.0,1.0,1533309737.0,0.5444444444444444,11.0,57.0,0.0,1.0,265.9777857142857
46.0,1534.0,4.0,2104310330.0,0.6206349206349207,10.0,50.0,1.0,2.0,265.9777857142857
45.0,1305.0,4.0,1744069340.0,0.5190476190476191,11.0,62.0,1.0,2.0,265.9777857142857
44.0,1414.0,3.0,2141614740.0,0.5,11.0,62.0,1.0,9.0,265.9777857142857
44.0,1366.0,2.0,1338375133.0,0.6015873015873016,11.0,45.0,0.0,7.0,265.9777857142857
44.0,1249.0,2.0,1225033818.0,0.6333333333333333,11.0,51.0,1.0,3.0,265.5945555555556
44.0,1249.0,3.0,1225060763.0,0.5,11.0,50.0,1.0,9.0,265.5945555555556
46.0,1464.0,3.0,1095220314.0,0.6206349206349207,10.0,51.0,1.0,3.0,265.9777857142857
44.0,1269.0,4.0,1395571767.0,0.665079365079365,13.0,41.0,1.0,3.0,265.9777857142857
46.0,1422.0,4.0,1541537751.0,0.6714285714285715,12.0,53.0,0.0,3.0,265.9777857142857
44.0,1346.0,4.0,1432469158.0,0.665079365079365,11.0,44.0,1.0,8.0,265.9777857142857
