spark.shuffle.file.buffer,spark.executor.memoryOverhead,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxSizeInFlight,runtime
39.0,1253.0,1779937024.0,35.0,256.41270999999966
43.0,1299.0,2016705064.0,29.0,261.52309000000014
46.0,1032.0,2016697128.0,28.0,265.3989500000001
45.0,1036.0,1972982121.0,27.0,262.7935900000002
43.0,1168.0,1960031796.0,42.0,259.64023000000003
40.0,1122.0,1774222663.0,50.0,265.86478999999986
43.0,1249.0,1799980096.0,32.0,263.2203899999998
44.0,1017.0,1862839023.0,45.0,262.9388800000001
45.0,1009.0,2092059430.0,26.0,263.7455200000002
44.0,907.0,1982482734.0,30.0,268.79585000000014
47.0,1253.0,2008038448.0,48.0,264.82562000000013
48.0,1256.0,1871648866.0,47.0,262.33846000000005
42.0,1043.0,1898187821.0,42.0,260.58477000000005
42.0,1001.0,1864761025.0,43.0,261.06057000000004
44.0,1045.0,2117636737.0,43.0,261.2573400000001
45.0,1179.0,1955184607.0,46.0,264.3184600000001
46.0,1073.0,1833834847.0,46.0,264.9883300000001
41.0,1258.0,1893605340.0,30.0,260.7716800000002
47.0,1258.0,1988239064.0,42.0,261.39358000000016
43.0,1039.0,2032464856.0,56.0,265.59616000000017
38.0,1259.0,1798042626.0,44.0,263.09018999999967
46.0,1131.0,1937263023.0,35.0,260.34547000000003
37.0,1077.0,2053079470.0,35.0,264.87043999999975
46.0,1329.0,2010942843.0,41.0,265.9962900000001
46.0,1232.0,1885735153.0,26.0,263.3585200000001
39.0,1195.0,1765586621.0,38.0,261.0549699999999
45.0,1058.0,1990265674.0,38.0,261.1647300000001
46.0,1056.0,1939932076.0,42.0,260.66417000000007
46.0,1229.0,1818882515.0,41.0,258.43565
44.0,1048.0,1863642017.0,40.0,260.57323000000014
