spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.storage.memoryMapThreshold,spark.shuffle.compress,spark.memory.fraction,runtime
1289.0,126.0,5.0,1.0,0.8238095238095238,253.4103508551117
1689.0,126.0,2.0,1.0,0.6841269841269841,248.9188233234694
1711.0,114.0,5.0,1.0,0.8047619047619048,252.6831505921511
1732.0,114.0,9.0,1.0,0.6841269841269841,252.6831505921511
1099.0,108.0,2.0,1.0,0.6015873015873016,257.23447279288274
1683.0,111.0,6.0,0.0,0.6714285714285715,253.35185014807453
1709.0,114.0,6.0,0.0,0.6714285714285715,252.6831505921511
1573.0,128.0,8.0,1.0,0.5634920634920635,254.89675489966524
1410.0,126.0,4.0,0.0,0.665079365079365,253.45036781544906
1614.0,126.0,2.0,1.0,0.6015873015873016,253.51589212093882
1636.0,127.0,9.0,1.0,0.6523809523809524,252.5812258825643
1283.0,128.0,4.0,1.0,0.6587301587301587,251.9926004096509
1699.0,126.0,4.0,1.0,0.861904761904762,248.79036153440197
986.0,124.0,3.0,1.0,0.7603174603174603,256.1652575479268
1299.0,127.0,2.0,1.0,0.861904761904762,254.20306758161237
978.0,52.0,9.0,0.0,0.6587301587301587,257.66639814180604
1581.0,124.0,1.0,1.0,0.8301587301587301,255.83142113803976
1630.0,125.0,2.0,0.0,0.7285714285714285,253.51589212093882
1454.0,125.0,2.0,0.0,0.8809523809523809,255.7061222244575
1248.0,112.0,2.0,1.0,0.8301587301587301,255.3217829860135
1742.0,126.0,2.0,0.0,0.8873015873015873,248.79036153440197
1312.0,126.0,8.0,0.0,0.6333333333333333,255.79343222338318
957.0,127.0,7.0,0.0,0.8873015873015873,254.74750710246573
1720.0,123.0,2.0,0.0,0.8873015873015873,257.53747296949257
1695.0,124.0,6.0,1.0,0.8365079365079365,248.79036153440197
1600.0,126.0,6.0,0.0,0.5761904761904761,255.83142113803976
1668.0,126.0,6.0,0.0,0.8936507936507936,248.9188233234694
1006.0,108.0,4.0,1.0,0.5634920634920635,257.15834290314734
1190.0,108.0,3.0,0.0,0.7920634920634921,257.23447279288274
878.0,47.0,3.0,0.0,0.8238095238095238,258.1846322239331
