0  {'spark.broadcast.blockSize': 39, 'spark.broadcast.checksum': 0, 'spark.broadcast.compress': 0, 'spark.default.parallelism': 356, 'spark.executor.cores': 6, 'spark.executor.instances': 11, 'spark.executor.memory': 8, 'spark.executor.memoryOverhead': 1473, 'spark.kryoserializer.buffer': 74, 'spark.kryoserializer.buffer.max': 40, 'spark.locality.wait': 4, 'spark.maxRemoteBlockSizeFetchToMem': 1316171050, 'spark.memory.fraction': 0.6300343613871231, 'spark.memory.offHeap.enabled': 0, 'spark.memory.offHeap.size': 420, 'spark.memory.storageFraction': 0.8365396886878506, 'spark.rdd.compress': 0, 'spark.reducer.maxBlocksInFlightPerAddress': 1428889853, 'spark.reducer.maxReqsInFlight': 1357259246, 'spark.reducer.maxSizeInFlight': 47, 'spark.scheduler.mode': 0, 'spark.scheduler.revive.interval': 835, 'spark.shuffle.compress': 0, 'spark.shuffle.file.buffer': 39, 'spark.shuffle.io.numConnectionsPerPeer': 4, 'spark.shuffle.sort.bypassMergeThreshold': 269, 'spark.storage.memoryMapThreshold': 9, 'loss': {'loss': 728.674, 'status': 'ok'}}
1  {'spark.broadcast.blockSize': 16, 'spark.broadcast.checksum': 0, 'spark.broadcast.compress': 0, 'spark.default.parallelism': 316, 'spark.executor.cores': 5, 'spark.executor.instances': 9, 'spark.executor.memory': 10, 'spark.executor.memoryOverhead': 1602, 'spark.kryoserializer.buffer': 105, 'spark.kryoserializer.buffer.max': 51, 'spark.locality.wait': 6, 'spark.maxRemoteBlockSizeFetchToMem': 1761251217, 'spark.memory.fraction': 0.5500052196051486, 'spark.memory.offHeap.enabled': 0, 'spark.memory.offHeap.size': 791, 'spark.memory.storageFraction': 0.8243559702676511, 'spark.rdd.compress': 0, 'spark.reducer.maxBlocksInFlightPerAddress': 1516680103, 'spark.reducer.maxReqsInFlight': 1510993895, 'spark.reducer.maxSizeInFlight': 24, 'spark.scheduler.mode': 0, 'spark.scheduler.revive.interval': 754, 'spark.shuffle.compress': 0, 'spark.shuffle.file.buffer': 43, 'spark.shuffle.io.numConnectionsPerPeer': 2, 'spark.shuffle.sort.bypassMergeThreshold': 429, 'spark.storage.memoryMapThreshold': 2, 'loss': {'loss': 531.018, 'status': 'ok'}}
2  {'spark.broadcast.blockSize': 57, 'spark.broadcast.checksum': 0, 'spark.broadcast.compress': 0, 'spark.default.parallelism': 463, 'spark.executor.cores': 4, 'spark.executor.instances': 11, 'spark.executor.memory': 8, 'spark.executor.memoryOverhead': 1453, 'spark.kryoserializer.buffer': 96, 'spark.kryoserializer.buffer.max': 41, 'spark.locality.wait': 9, 'spark.maxRemoteBlockSizeFetchToMem': 1788127261, 'spark.memory.fraction': 0.6594814007991225, 'spark.memory.offHeap.enabled': 0, 'spark.memory.offHeap.size': 252, 'spark.memory.storageFraction': 0.6385174092741183, 'spark.rdd.compress': 0, 'spark.reducer.maxBlocksInFlightPerAddress': 1236200381, 'spark.reducer.maxReqsInFlight': 2112194054, 'spark.reducer.maxSizeInFlight': 47, 'spark.scheduler.mode': 0, 'spark.scheduler.revive.interval': 780, 'spark.shuffle.compress': 0, 'spark.shuffle.file.buffer': 44, 'spark.shuffle.io.numConnectionsPerPeer': 3, 'spark.shuffle.sort.bypassMergeThreshold': 126, 'spark.storage.memoryMapThreshold': 1, 'loss': {'loss': 650.341, 'status': 'ok'}}
3  {'spark.broadcast.blockSize': 47, 'spark.broadcast.checksum': 0, 'spark.broadcast.compress': 0, 'spark.default.parallelism': 471, 'spark.executor.cores': 6, 'spark.executor.instances': 8, 'spark.executor.memory': 13, 'spark.executor.memoryOverhead': 1489, 'spark.kryoserializer.buffer': 59, 'spark.kryoserializer.buffer.max': 99, 'spark.locality.wait': 7, 'spark.maxRemoteBlockSizeFetchToMem': 1441314862, 'spark.memory.fraction': 0.5473614747797552, 'spark.memory.offHeap.enabled': 0, 'spark.memory.offHeap.size': 742, 'spark.memory.storageFraction': 0.742835212618365, 'spark.rdd.compress': 0, 'spark.reducer.maxBlocksInFlightPerAddress': 1741898541, 'spark.reducer.maxReqsInFlight': 2027573535, 'spark.reducer.maxSizeInFlight': 46, 'spark.scheduler.mode': 0, 'spark.scheduler.revive.interval': 885, 'spark.shuffle.compress': 0, 'spark.shuffle.file.buffer': 25, 'spark.shuffle.io.numConnectionsPerPeer': 4, 'spark.shuffle.sort.bypassMergeThreshold': 353, 'spark.storage.memoryMapThreshold': 6, 'loss': {'loss': 285.801, 'status': 'ok'}}
4  {'spark.broadcast.blockSize': 62, 'spark.broadcast.checksum': 0, 'spark.broadcast.compress': 0, 'spark.default.parallelism': 204, 'spark.executor.cores': 5, 'spark.executor.instances': 9, 'spark.executor.memory': 11, 'spark.executor.memoryOverhead': 959, 'spark.kryoserializer.buffer': 126, 'spark.kryoserializer.buffer.max': 54, 'spark.locality.wait': 2, 'spark.maxRemoteBlockSizeFetchToMem': 1090004557, 'spark.memory.fraction': 0.6472922704750113, 'spark.memory.offHeap.enabled': 0, 'spark.memory.offHeap.size': 232, 'spark.memory.storageFraction': 0.8123631906803843, 'spark.rdd.compress': 0, 'spark.reducer.maxBlocksInFlightPerAddress': 1865312239, 'spark.reducer.maxReqsInFlight': 1189051893, 'spark.reducer.maxSizeInFlight': 59, 'spark.scheduler.mode': 0, 'spark.scheduler.revive.interval': 653, 'spark.shuffle.compress': 0, 'spark.shuffle.file.buffer': 21, 'spark.shuffle.io.numConnectionsPerPeer': 3, 'spark.shuffle.sort.bypassMergeThreshold': 235, 'spark.storage.memoryMapThreshold': 2, 'loss': {'loss': 282.741, 'status': 'ok'}}
5  {'spark.broadcast.blockSize': 54, 'spark.broadcast.checksum': 0, 'spark.broadcast.compress': 0, 'spark.default.parallelism': 242, 'spark.executor.cores': 4, 'spark.executor.instances': 9, 'spark.executor.memory': 8, 'spark.executor.memoryOverhead': 1340, 'spark.kryoserializer.buffer': 64, 'spark.kryoserializer.buffer.max': 53, 'spark.locality.wait': 6, 'spark.maxRemoteBlockSizeFetchToMem': 1380601837, 'spark.memory.fraction': 0.649501865510151, 'spark.memory.offHeap.enabled': 0, 'spark.memory.offHeap.size': 283, 'spark.memory.storageFraction': 0.5614443593986591, 'spark.rdd.compress': 0, 'spark.reducer.maxBlocksInFlightPerAddress': 1341581488, 'spark.reducer.maxReqsInFlight': 2147276767, 'spark.reducer.maxSizeInFlight': 63, 'spark.scheduler.mode': 0, 'spark.scheduler.revive.interval': 760, 'spark.shuffle.compress': 0, 'spark.shuffle.file.buffer': 30, 'spark.shuffle.io.numConnectionsPerPeer': 1, 'spark.shuffle.sort.bypassMergeThreshold': 443, 'spark.storage.memoryMapThreshold': 4, 'loss': {'loss': 100000.0, 'status': 'ok'}}
6  {'spark.broadcast.blockSize': 32, 'spark.broadcast.checksum': 0, 'spark.broadcast.compress': 0, 'spark.default.parallelism': 482, 'spark.executor.cores': 5, 'spark.executor.instances': 12, 'spark.executor.memory': 9, 'spark.executor.memoryOverhead': 578, 'spark.kryoserializer.buffer': 40, 'spark.kryoserializer.buffer.max': 98, 'spark.locality.wait': 5, 'spark.maxRemoteBlockSizeFetchToMem': 2107656871, 'spark.memory.fraction': 0.6908801584071959, 'spark.memory.offHeap.enabled': 0, 'spark.memory.offHeap.size': 862, 'spark.memory.storageFraction': 0.8587750697883942, 'spark.rdd.compress': 0, 'spark.reducer.maxBlocksInFlightPerAddress': 2127070600, 'spark.reducer.maxReqsInFlight': 1614149822, 'spark.reducer.maxSizeInFlight': 55, 'spark.scheduler.mode': 0, 'spark.scheduler.revive.interval': 845, 'spark.shuffle.compress': 0, 'spark.shuffle.file.buffer': 32, 'spark.shuffle.io.numConnectionsPerPeer': 2, 'spark.shuffle.sort.bypassMergeThreshold': 167, 'spark.storage.memoryMapThreshold': 4, 'loss': {'loss': 687.785, 'status': 'ok'}}
7  {'spark.broadcast.blockSize': 46, 'spark.broadcast.checksum': 0, 'spark.broadcast.compress': 0, 'spark.default.parallelism': 451, 'spark.executor.cores': 4, 'spark.executor.instances': 12, 'spark.executor.memory': 12, 'spark.executor.memoryOverhead': 1144, 'spark.kryoserializer.buffer': 69, 'spark.kryoserializer.buffer.max': 85, 'spark.locality.wait': 1, 'spark.maxRemoteBlockSizeFetchToMem': 1799192403, 'spark.memory.fraction': 0.7653067956366866, 'spark.memory.offHeap.enabled': 0, 'spark.memory.offHeap.size': 220, 'spark.memory.storageFraction': 0.6626747360619567, 'spark.rdd.compress': 0, 'spark.reducer.maxBlocksInFlightPerAddress': 1859101969, 'spark.reducer.maxReqsInFlight': 2050678324, 'spark.reducer.maxSizeInFlight': 56, 'spark.scheduler.mode': 0, 'spark.scheduler.revive.interval': 552, 'spark.shuffle.compress': 0, 'spark.shuffle.file.buffer': 27, 'spark.shuffle.io.numConnectionsPerPeer': 1, 'spark.shuffle.sort.bypassMergeThreshold': 106, 'spark.storage.memoryMapThreshold': 8, 'loss': {'loss': 274.447, 'status': 'ok'}}
8  {'spark.broadcast.blockSize': 51, 'spark.broadcast.checksum': 0, 'spark.broadcast.compress': 0, 'spark.default.parallelism': 333, 'spark.executor.cores': 6, 'spark.executor.instances': 11, 'spark.executor.memory': 10, 'spark.executor.memoryOverhead': 1560, 'spark.kryoserializer.buffer': 35, 'spark.kryoserializer.buffer.max': 96, 'spark.locality.wait': 1, 'spark.maxRemoteBlockSizeFetchToMem': 1925712209, 'spark.memory.fraction': 0.6161549576503947, 'spark.memory.offHeap.enabled': 0, 'spark.memory.offHeap.size': 507, 'spark.memory.storageFraction': 0.5607748367819125, 'spark.rdd.compress': 0, 'spark.reducer.maxBlocksInFlightPerAddress': 1993172968, 'spark.reducer.maxReqsInFlight': 1456613390, 'spark.reducer.maxSizeInFlight': 46, 'spark.scheduler.mode': 0, 'spark.scheduler.revive.interval': 770, 'spark.shuffle.compress': 0, 'spark.shuffle.file.buffer': 47, 'spark.shuffle.io.numConnectionsPerPeer': 1, 'spark.shuffle.sort.bypassMergeThreshold': 276, 'spark.storage.memoryMapThreshold': 5, 'loss': {'loss': 788.731, 'status': 'ok'}}
9  {'spark.broadcast.blockSize': 11, 'spark.broadcast.checksum': 0, 'spark.broadcast.compress': 0, 'spark.default.parallelism': 292, 'spark.executor.cores': 6, 'spark.executor.instances': 11, 'spark.executor.memory': 12, 'spark.executor.memoryOverhead': 970, 'spark.kryoserializer.buffer': 74, 'spark.kryoserializer.buffer.max': 67, 'spark.locality.wait': 4, 'spark.maxRemoteBlockSizeFetchToMem': 1840455304, 'spark.memory.fraction': 0.6853818146441418, 'spark.memory.offHeap.enabled': 0, 'spark.memory.offHeap.size': 768, 'spark.memory.storageFraction': 0.7359036343868319, 'spark.rdd.compress': 0, 'spark.reducer.maxBlocksInFlightPerAddress': 1425759431, 'spark.reducer.maxReqsInFlight': 1875175783, 'spark.reducer.maxSizeInFlight': 25, 'spark.scheduler.mode': 0, 'spark.scheduler.revive.interval': 516, 'spark.shuffle.compress': 0, 'spark.shuffle.file.buffer': 41, 'spark.shuffle.io.numConnectionsPerPeer': 3, 'spark.shuffle.sort.bypassMergeThreshold': 400, 'spark.storage.memoryMapThreshold': 4, 'loss': {'loss': 384.995, 'status': 'ok'}}
10  {'spark.broadcast.blockSize': 9, 'spark.broadcast.checksum': 0, 'spark.broadcast.compress': 0, 'spark.default.parallelism': 225, 'spark.executor.cores': 5, 'spark.executor.instances': 9, 'spark.executor.memory': 8, 'spark.executor.memoryOverhead': 741, 'spark.kryoserializer.buffer': 116, 'spark.kryoserializer.buffer.max': 91, 'spark.locality.wait': 1, 'spark.maxRemoteBlockSizeFetchToMem': 1499526636, 'spark.memory.fraction': 0.5037437800855239, 'spark.memory.offHeap.enabled': 0, 'spark.memory.offHeap.size': 915, 'spark.memory.storageFraction': 0.685094729429157, 'spark.rdd.compress': 0, 'spark.reducer.maxBlocksInFlightPerAddress': 1114740205, 'spark.reducer.maxReqsInFlight': 1260471458, 'spark.reducer.maxSizeInFlight': 48, 'spark.scheduler.mode': 0, 'spark.scheduler.revive.interval': 961, 'spark.shuffle.compress': 0, 'spark.shuffle.file.buffer': 32, 'spark.shuffle.io.numConnectionsPerPeer': 2, 'spark.shuffle.sort.bypassMergeThreshold': 261, 'spark.storage.memoryMapThreshold': 7, 'loss': {'loss': 100000.0, 'status': 'ok'}}
