,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
1,374.676,18.72593787,0.805725725,0.002634528,202.4838198,6.301134257,12.71165796,10.72088843,1002.826396,114.1214157,71.80711168,7.593637386,2098253261,0.66529179,0.233328044,939.1239094,0.66897287,0.028812249,1389755812,1943783766,69.66471231,0.918739698,592.5914272,0.247079935,23.73286492,4.204140546,300.2161251,9.707589046
2,249.681,39.48731175,0.318879867,0.381511478,420.5304273,4.511165174,10.09718943,12.63956658,1365.571777,81.14309084,111.2465493,4.123270553,1708001290,0.82465964,0.836018621,257.6683524,0.856341424,0.896989652,2112156839,1156543749,41.95739048,0.650874378,810.6453905,0.597005177,46.20513973,1.523529334,184.0366724,6.824530014
3,493.049,59.79271609,0.493854964,0.866679284,373.9896822,5.343143365,8.910863786,9.509740427,407.1355317,60.5860334,42.4397858,1.637100893,1153219881,0.578109418,0.443630845,664.1653686,0.561733061,0.525369002,1676269508,1484420624,28.47007562,0.199833124,926.3723269,0.791849783,30.23304534,2.686756163,380.0048608,3.049487506
4,255.94,39,0,0,438,4,10,13,1399,82,114,3,1733662080,0.850000024,1,246,0.870000005,1,1698910592,1188366208,42,1,849,1,48,2,190,7
5,254.525,40,0,0,437,4,10,13,1309,80,119,3,1718504960,0.860000014,1,213,0.899999976,1,1756643584,1156586752,40,1,835,1,48,2,147,7
6,236.223,38,0,0,360,5,10,12,1249,81,85,5,1723031552,0.689999998,1,322,0.769999981,1,1629339008,1445679744,44,1,774,1,37,2,230,6
7,258.752,6.65573124,0.517085499,0.11568473,259.37169,6.723637504,13.10315816,13.72456875,1695.623482,58.14136324,120.8569087,8.317198081,1740164520,0.825176263,0.930477305,272.6417869,0.892718367,0.954777492,1778497030,1214331928,58.72095819,0.854537294,545.0486894,0.666410658,17.21461687,1.002753477,175.8138258,2.125129691
8,282.708,43.4225347,0.066268787,0.342569037,427.3993307,4.66123569,12.12875802,12.78588727,1292.647771,49.66230355,55.73464734,9.395528382,2035519389,0.79747391,0.711945014,550.1954392,0.661205677,0.895054892,2116002580,1374389494,48.75245623,0.792221698,554.7572526,0.314044075,45.49673206,1.513331954,139.1608422,4.229885814
9,251.471,28.12745701,0.417061132,0.151172777,237.4795387,6.209807354,10.78317409,13.05559177,930.7465818,98.95022456,97.41395126,6.588804002,1764440744,0.572035264,0.572283153,189.5929957,0.797285829,0.940183596,2015588461,1769705876,51.02612235,0.319836272,722.245849,0.913075219,41.64671285,1.965623662,167.1801096,4.181974416
10,273.392,19.50251118,0.093525917,0.075620781,352.8175618,5.50484952,9.274735379,12.32050933,895.7354267,41.60071089,126.9978189,7.39716828,1996937352,0.540092785,0.73781959,196.9570476,0.719409797,0.851773973,2067563583,1290538941,46.72720566,0.322290747,664.2083473,0.517711051,24.68910448,1.700457574,138.7476407,9.808929985
