,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
1,2429.161,37.80238897,0.659147419,0.476848351,287.8342542,3.051365007,4.854727705,4.879294949,851.6204796,55.6570391,117.2396044,7.255100901,1783184052,0.824816242,0.242993117,202.8834171,0.769417755,0.831950456,1658625454,1817950644,35.2060847,0.625760555,580.8283368,0.185953585,28.99737959,2.016478915,240.4850899,3.639888748
2,2506.913,59.46584146,0.842594331,0.799517936,320.985464,2.615547769,6.967900406,6.41296323,462.9305601,116.3440623,55.77129244,5.710077346,2121813032,0.742221985,0.861629788,765.3970866,0.515786697,0.112341017,1262995665,1751508741,69.22382316,0.966266261,851.5892613,0.771143251,24.62900712,3.040836462,158.2084351,1.563258256
3,2941.977,44.12042791,0.272256801,0.204479042,493.7121699,1.949262544,6.343289711,3.928624273,596.7173181,86.14580422,80.57387996,8.067780203,1204562235,0.530418597,0.562570148,649.4317624,0.744395551,0.648392757,1831490525,1290347954,52.41815408,0.035730692,831.6196633,0.456578268,40.25472178,3.852431185,341.8431669,2.739020769
4,3211.485,41,1,1,319,3,5,5,701,63,88,7,1734001664,0.75,0,254,0.74000001,1,1657850880,1754733696,38,1,702,0,31,3,247,3
5,2400.268,41,1,1,322,3,6,5,706,63,97,7,1708981760,0.730000019,0,254,0.74000001,1,1618528512,1819079936,40,1,666,0,32,3,253,3
6,3075.809,40,1,1,303,3,5,5,704,59,92,8,1756975488,0.75999999,0,254,0.75,1,1618742272,1849774080,40,1,665,0,30,3,246,3
7,2372.948,34.95483503,0.186260211,0.345560727,319.0302423,2.616450202,5.676778058,5.740878002,484.7949591,116.2992739,34.62920895,8.022805061,1521819080,0.723475931,0.140386939,202.8559248,0.820297827,0.968261576,1410278472,1817117571,66.06667931,0.894606664,542.5221057,0.039054783,21.43457343,4.512570014,169.6693668,2.263322875
8,2478.35,43.34976152,0.586909329,0.337259448,365.4649474,2.285085213,6.726638321,4.408697588,770.6559358,91.0486577,77.88977472,6.249246207,1793278671,0.541009332,0.122546193,231.082045,0.777000349,0.709497565,1487722518,2058034731,41.50716368,0.467194977,621.3989374,0.256913036,34.1178534,3.318078673,227.6259981,1.9974347
9,2929.825,41.00720779,0.900318368,0.618579459,349.8196533,2.431802171,7.093811462,4.093848923,662.1267133,60.57141834,110.3858012,7.728838563,1411186412,0.811471949,0.114488473,504.3939684,0.590612059,0.968489236,1912584153,1598182418,33.47769994,0.539607497,546.1783174,0.355401318,34.72630581,2.207939318,317.4405341,3.593600654
10,3286.81,34.6723793,0.7634696,0.354502195,321.0412208,2.393946703,4.51862772,5.724940422,545.6707675,88.1932418,67.25129283,4.431028096,1500363826,0.893204323,0.59469219,627.8322173,0.608950655,0.54692189,1267503482,1553283838,60.97626605,0.100107916,516.2114807,0.603452665,36.83865555,4.834057821,152.0088258,2.737654234
11,2376.39,42.48745751,0.598731389,0.578039543,326.1472769,3.270857409,5.749343929,6.449544705,752.8563578,90.40636809,115.9011835,4.275154619,1561563206,0.771040392,0.138604315,395.105053,0.676411283,0.506658274,1855217330,1512465551,39.37527905,0.96664783,767.9851768,0.039168117,44.04635805,2.96893811,306.6591507,3.277195045
12,3813.629,46.53939305,0.476779327,0.261861404,260.0820886,1.943788012,5.079393148,5.369599505,825.6417675,49.14420614,96.28558578,9.886382468,1651464174,0.789208913,0.748441878,107.4028376,0.704367576,0.636296684,1344627605,1404945398,30.38345263,0.576376133,633.5807629,0.412884537,18.10590494,2.396040705,209.4847098,3.955757732
13,2063.902,42.82980492,0.412378633,0.834771211,392.6666994,2.783219869,7.957146174,5.299851295,607.5756527,56.58818368,92.77013637,8.613208803,1559054725,0.691035663,0.061100125,416.0718919,0.890060631,0.887384274,1813011201,1561253572,30.25280668,0.858630332,786.5477062,0.30607801,27.84742454,1.730465122,325.3014583,2.196585708
14,2926.2,53.23808761,0.163164128,0.512217534,376.0590321,2.424035156,5.338223515,5.328395759,406.2093104,99.89083762,44.43621544,7.965582957,1485698531,0.849028566,0.632992613,325.0484914,0.893349753,0.845265342,1450197491,2069077669,70.5081106,0.904618551,529.1690275,0.27105843,27.77996234,3.670369737,160.738984,1.798118466
15,2728.552,44.8065288,0.554818025,0.227121196,201.4879983,3.859523251,5.72875118,4.890990887,838.8031625,38.23507992,101.7381862,8.39926826,2071921850,0.830679345,0.511313331,525.7859671,0.830228627,0.615766834,1443963915,1882952033,24.38215502,0.249210727,843.5612078,0.364766875,24.72412588,2.458131736,178.6239375,3.542161293
16,2587.055,37.35253598,0.689447575,0.714489681,339.295505,3.551327807,4.660467255,4.57513436,745.8249713,97.05188994,107.2890448,5.8199607,1669982636,0.875271411,0.135961461,462.1341523,0.824611804,0.891616831,1570126052,1374534072,33.78683755,0.334032156,536.9907649,0.444550254,33.49679634,1.001393852,289.3843208,3.031524287
17,3028.793,41.79710092,0.569295735,0.455232441,261.1521369,3.066910942,4.525111658,5.526989699,766.906012,40.89105483,127.63777,7.689655482,1498659302,0.705415261,0.173586804,503.8263871,0.65540502,0.053594295,1643226662,1595844677,51.21599256,0.491778133,698.1981869,0.352808945,29.58701669,1.611943762,282.6543454,3.825360924
18,2575.408,45.32628684,0.110987299,0.951477154,389.0021387,2.28392408,7.289637594,4.211980539,514.0204706,49.67198671,101.3834929,5.789089178,1372172591,0.526006854,0.296145371,385.9043424,0.851444808,0.683842576,1940481592,1621630818,45.24653853,0.717297073,703.5916058,0.649739484,35.42557313,2.246832175,297.0131702,1.873808566
19,2058.727,43.22239374,0.756918042,0.957441395,410.1855677,3.250297905,7.301300195,4.328172962,733.3177187,91.77939207,112.596385,7.88948559,1900177702,0.682324006,0.102320112,296.9712168,0.665793927,0.577108538,1491816512,1510979385,40.07019366,0.635252516,720.8477954,0.251422933,41.85626339,4.863163397,276.9140203,2.022692394
20,2094.224,56.72802893,0.78209067,0.977199212,410.7073682,3.560084539,7.179671566,3.738150459,586.3497617,51.1340439,88.50108775,9.057285148,2068075814,0.712061512,0.041744221,335.7118227,0.639460742,0.563903052,1814629289,1276794056,54.8597024,0.408780231,959.4237884,0.708817308,39.67433698,3.971481119,257.6619248,2.200635628
21,2582.418,46.30623636,0.010968796,0.579400831,430.7610839,2.444555593,7.772586939,4.759330673,755.6232975,51.50444109,85.92635021,7.634414022,1641601139,0.641999603,0.106063129,365.7327658,0.867598275,0.427717978,1952658281,1971325223,31.56119718,0.757389632,953.5786443,0.687424411,38.68975621,1.966178508,240.0653512,2.344923206
