,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
1,691.149,56.69868032,0.290981626,0.729819939,371.8572363,2.937674476,4.596423316,3.623679108,828.728706,43.07978388,122.4378124,4.059364475,1859907221,0.53916648,0.872198832,826.5518714,0.672776887,0.362139872,1174138182,1870563610,59.36984112,0.960028815,674.6640427,0.656812561,16.59250636,1.298330816,174.9389492,2.22240533
2,491.788,48.57361184,0.348547481,0.326407179,410.4187097,3.897615235,6.769557601,5.250481793,646.2740537,125.3622732,79.45529846,6.453748671,1493009113,0.7370632,0.622189831,589.0598251,0.881422123,0.003892097,1839592736,1137975809,28.58344898,0.651148913,940.3579753,0.034667045,31.60166873,4.521791938,238.6219371,3.192356326
3,1090.383,32.90540339,0.79815019,0.541912249,230.8885004,1.290268321,6.02714474,5.913150784,511.0873111,88.25999433,45.29896042,9.626206028,1171010921,0.84916907,0.080099313,267.3444146,0.554405935,0.92825627,1705178768,1549042295,49.63818536,0.206762118,644.3413654,0.878083315,40.7350273,3.655826302,306.2146337,1.700225908
4,513.132,49,0,0,418,4,7,5,664,121,79,6,1437510400,0.74000001,1,558,0.779999971,0,1900694400,1151991296,30,1,857,0,32,5,227,3
5,570.093,50,0,0,418,3,7,5,674,108,76,7,1445477888,0.74000001,1,607,0.75999999,0,1767285760,1224610048,36,1,845,0,33,4,244,3
6,516.926,51,0,0,414,3,7,5,662,106,78,6,1457396224,0.74000001,1,575,0.779999971,0,1856831232,1266927872,36,1,837,0,32,4,248,3
7,502.651,51.89000999,0.472395173,0.325185226,277.9764171,3.900827094,7.366573509,5.692036665,607.8289177,121.6612463,91.39796486,4.999015784,1588337499,0.663746363,0.090820348,315.2844572,0.850945647,0.235614438,2038634304,1950595469,43.22585463,0.937331891,955.6977525,0.411575497,32.09990069,3.587554361,328.8253727,3.580628718
8,604.285,53.84438609,0.53349569,0.085550024,427.5543078,2.057419575,7.569151995,3.408472001,448.3113759,123.7664939,87.17614872,4.106766655,1643940880,0.846477125,0.402783528,67.26945508,0.800715323,0.151236443,2005184272,1694782172,26.51043477,0.331900546,935.7467531,0.220537031,46.22713795,3.40495991,238.6845484,2.875335512
9,517.342,62.9961919,0.472236242,0.369285501,416.3526634,2.559628933,7.943616625,5.505004709,646.4092582,42.9134441,115.4969336,5.614798302,1810134987,0.585693708,0.409720232,630.5683712,0.897115662,0.043030121,1979775626,1202399299,40.4472473,0.498648976,800.4571942,0.361785622,30.80812725,2.790098167,337.209133,2.499941089
10,675.827,58.48259317,0.015905965,0.741846997,483.250991,3.292015862,4.821161286,4.77314616,853.6091257,77.38424098,93.71385248,4.112260203,1731623887,0.818833696,0.889912182,316.4823549,0.863621348,0.117087906,1987320689,1465117996,55.29304562,0.581741716,656.559244,0.281250002,36.58864127,3.421840343,243.2740889,3.917706202
