,,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
1,429.469   (1),429.469,52,0,1,375,4,8,10,924,110,91,3,2092619550,0.74,0,55,0.67,0,1800439150,1235428171,67,1,691,1,25,1,271,2
2,1025.263   (2),1025.263,43,0,0,431,4,10,8,573,59,103,3,1846702027,0.81,0,981,0.89,1,1763880880,1965213118,33,0,934,0,30,1,179,5
3,1266.588   (3),1266.588,27,0,1,225,5,10,8,408,64,57,4,1855667397,0.78,0,793,0.85,1,1725347619,1402515797,50,0,774,1,40,1,201,4
4,559.71   (4),559.71,52,0,1,376,4,8,8,877,108,91,4,2122759808,0.74000001,0,58,0.660000026,0,1813726976,1252214528,66,1,704,1,23,1,270,2
5,2675.329   (5),2675.329,52,0,1,383,4,8,8,877,112,92,4,2117626880,0.75,0,41,0.670000017,0,1822685696,1166581504,71,1,706,1,23,1,273,2
6,258.666   (6),258.666,52,0,1,379,4,7,8,791,96,93,4,1854500352,0.730000019,0,69,0.680000007,0,1754293632,1408794752,60,1,684,1,24,1,272,2
7,567.86   (7),567.86,53,0,1,374,4,7,7,786,99,93,4,1846247936,0.74000001,0,66,0.670000017,0,1765145856,1413669120,60,1,677,1,25,1,278,2
8,343.802   (8),343.802,51,0,1,372,4,7,7,777,100,94,4,1847043840,0.720000029,0,86,0.670000017,0,1765570304,1409865856,61,1,680,1,26,1,279,2
9,1011.79   (9),1011.79,50,0,1,363,3,7,7,736,89,88,5,1765745408,0.720000029,0,86,0.649999976,0,1723671808,1533608704,57,1,714,1,29,1,269,2
10,358.172   (10),358.172,44,1,0,209,4,12,11,1747,88,99,3,1702704391,0.57,0,855,0.77,0,1343244898,1782200054,56,0,975,0,24,2,253,6
11,356.296   (11),356.296,43,0,0,467,7,14,11,1746,127,71,9,1673601241,0.85,1,990,0.71,0,1772823616,1847802829,39,1,792,0,29,3,291,2
12,469.393   (12),469.393,36,0,0,442,7,8,10,410,43,100,9,1378568354,0.72,0,818,0.86,1,1654258753,1807982080,48,1,732,1,19,4,416,5
13,321.262   (13),321.262,7.724992876,0.186260211,0.345560727,319.0302423,5.616450202,10.51516709,12.111317,664.3040344,116.2992739,34.62920895,7.034207592,1521819080,0.723475931,0.140386939,202.8559248,0.820297827,0.968261576,1410278472,1817117571,66.06667931,0.894606664,542.5221057,0.039054783,21.43457343,4.512570014,139.3387335,4.789968625
14,321.262   (14),321.262,43.59829342,0.077531101,0.90142019,219.5748705,5.107980817,13.57551229,8.458631476,1120.207203,75.33175534,49.37842923,3.200342258,1652425221,0.710060884,0.603879557,765.789728,0.70299184,0.237775684,1282968807,1113915895,64.63397814,0.481070222,701.8359009,0.566216997,35.9104465,3.932986427,422.125072,5.643018342
15,658.325   (15),658.325,54.97485893,0.037658334,0.768570258,318.8559168,5.910446779,11.11636895,9.4013208,522.3722825,82.39400048,44.00046166,2.439433906,1814926160,0.660545959,0.639316027,519.6125551,0.884939119,0.190291292,1866390632,1878225215,65.46794212,0.060535311,824.912693,0.9464031,23.8459874,2.609000659,488.1370891,3.733297792
16,233.956   (16),233.956,45.05544932,0.675358377,0.842471368,450.6691462,4.705157921,8.461315034,12.87240725,1039.237961,105.1228862,90.18622286,3.930855332,1972088414,0.691023597,0.609371926,700.5334084,0.786206993,0.4634839,1498722312,1391656383,64.04432495,0.344053609,706.1826566,0.584472975,16.7423392,3.196240452,441.3674301,3.287849418
17,421.962   (17),421.962,63.51585683,0.113998825,0.784139924,267.7442611,4.6484746,10.65427205,9.588066373,1001.530108,100.7274788,81.3073085,4.273814121,1794401552,0.602873858,0.339122029,381.8872023,0.684016817,0.394971512,1274592125,1131637895,58.7422289,0.47766537,549.45898,0.72641441,40.98174881,2.51317539,369.2376585,4.368564795
18,248.245   (18),248.245,59.52766262,0.381685185,0.573918815,278.1811225,4.296350852,12.25002554,10.19942075,864.7193092,94.95924471,47.35856979,1.41584131,2045307602,0.665307951,0.705232998,930.098241,0.757871357,0.084243149,1323511023,1541176021,43.07638603,0.145385752,701.5460278,0.699470591,34.14674542,2.372662472,465.4754637,4.882184277
19,261.41   (19),261.41,31.55242676,0.261658683,0.551649848,208.6483112,4.234474976,10.11833219,10.06325061,760.7394602,118.2130224,32.37886459,6.59751302,1549578693,0.669079193,0.662699914,861.0755169,0.815857454,0.314144563,1871929374,1172260797,61.4037469,0.563080006,674.3220996,0.701355766,24.56960711,3.498237808,389.4211453,5.132444795
20,261.41   (20),261.41,10.95066511,0.073647372,0.55843924,445.554512,6.917544857,9.675835991,13.20557135,608.4428038,41.99019055,61.91462898,4.779439701,2021013776,0.657181404,0.11154263,788.9057816,0.595949188,0.316196907,1249572407,2018422509,33.25237324,0.438313534,748.5078024,0.989272897,20.70357815,4.421647669,267.8908877,7.94180447
21,905.663   (21),905.663,51.16537272,0.105073144,0.701813865,280.1898787,4.031765921,9.609163829,10.08145122,632.9200449,55.34857984,74.36210785,2.344681448,2106679522,0.697712284,0.272720253,877.1059938,0.784021012,0.423788225,1176110962,1392132104,41.85269874,0.746979922,891.6219897,0.493267141,21.61247314,2.68628235,389.2704603,3.197019909
22,450.548   (22),450.548,48.00644081,0.443134046,0.021379036,440.8164439,5.09627132,9.092074695,10.78757807,1095.09261,92.66900731,127.5517774,7.028642164,1661193862,0.86271732,0.533113601,536.3630125,0.633199379,0.261857464,1226495937,1110689414,61.16073986,0.973357469,722.6966543,0.538013193,20.5995763,3.923293815,437.8226498,2.952596576
23,338.006   (23),338.006,7.177734888,0.7634696,0.354502195,321.0412208,5.393946703,8.77794158,12.08741063,833.5955827,88.1932418,67.25129283,1.646542144,1500363826,0.893204323,0.59469219,627.8322173,0.608950655,0.54692189,1267503482,1553283838,60.97626605,0.100107916,516.2114807,0.603452665,36.83865555,4.834057821,104.0176517,6.212962701
24,674.865   (24),674.865,39.79690734,0.381719894,0.405150041,268.2637629,4.865741693,12.35033382,9.687737912,1380.096976,104.9659985,39.67266196,7.278866824,1590861381,0.605883534,0.280724083,762.1417937,0.614549395,0.344645972,1252327635,1085369783,54.60837249,0.872689976,774.3792862,0.569481666,23.55118029,2.855948441,445.5466353,6.581462597
25,913.52   (25),913.52,44.94323001,0.811854126,0.681474573,260.510818,4.83601686,9.599400564,8.227237978,1180.058345,117.7426557,58.03476197,3.587922965,1622082048,0.812047284,0.81175529,419.2505618,0.763130225,0.23896064,1619762588,1143936035,62.02416968,0.349326076,907.9884183,0.529929099,21.06263142,1.272402005,492.9399687,5.442521827
26,293.268   (26),293.268,62.30961867,0.428065015,0.925995932,298.6167675,4.521117136,9.916374958,12.14601067,1276.696242,114.0848573,111.8368324,7.396063855,1711892000,0.583875862,0.245746188,296.4859176,0.675024936,0.17325702,1525527800,1115846466,56.42151854,0.920436465,719.233551,0.624698841,34.43793133,1.335280751,309.4048337,4.176473971
27,278.766   (27),278.766,55.647988,0.376278053,0.604739281,251.998729,4.953696002,12.62628249,12.19482543,1240.222563,97.65885106,91.71621067,9.160565769,1690660441,0.733037871,0.791103226,1000.965857,0.784897692,0.698200055,1956530954,2097080963,24.74830174,0.725948354,854.3205222,0.57554465,43.02900181,4.499918985,253.1195954,7.840840819
28,481.849   (28),481.849,62.4911258,0.521610266,0.170400119,445.6479903,4.027601962,13.95764569,10.2576495,897.0496894,79.61697842,100.4375242,5.554929866,1357856244,0.540567169,0.378053654,592.8676405,0.847302921,0.752839827,1593078953,1919501508,46.65909698,0.919459072,812.3652911,0.192684692,30.60097067,3.77074854,358.577104,5.146168078
29,481.849   (29),481.849,51.66026767,0.46758836,0.705261429,348.8511468,5.639251987,9.944659081,9.426211707,1094.211395,89.62223753,61.79597768,2.418327914,1699242110,0.871762366,0.678703349,816.0259164,0.745156528,0.369346016,1406944984,1465011875,56.44365038,0.681542769,667.0278966,0.906622697,16.53018685,4.753514194,374.1919107,3.990643654
30,527.802   (30),527.802,44.95085955,0.364426324,0.585339575,232.1157515,4.548725755,11.9896433,9.483105895,992.6546849,80.9420191,49.49874818,2.210975963,1912836394,0.502511526,0.128098567,526.1831885,0.817752853,0.247530959,1482764879,1111032587,47.52607834,0.820342506,965.5901673,0.801057185,25.33008402,3.091185775,468.3375637,2.816401546
31,504.169   (31),504.169,23.03485578,0.198878783,0.437372431,313.1778559,4.65194418,10.40276614,10.07082347,672.2076578,120.3631532,33.20714347,5.014569078,1671182828,0.538665888,0.308651943,772.8569446,0.859851384,0.337162484,1606549848,1529700058,66.75296591,0.582774188,876.3109937,0.527565084,33.95352719,2.292200076,453.9716673,6.891403307
32,2086.412   (32),2086.412,54.88547969,0.07759624,0.056495453,295.8049518,4.285820709,8.903624562,8.881805059,1023.683063,62.44452567,112.456065,8.766285542,1244946081,0.538831881,0.176032961,579.7567276,0.865105708,0.022682316,1188937710,1236588195,58.3500759,0.553027626,674.8806183,0.493539882,45.63443974,4.170085959,282.2065908,4.204821491
33,525.504   (33),525.504,24.77839587,0.323415211,0.959765169,380.6234316,5.27453082,9.823845001,8.472562734,1159.529288,43.08837677,82.8137721,4.560653508,2071822520,0.665949351,0.42028139,444.7301325,0.638660536,0.292433197,1853455252,2065833097,52.06689138,0.580651728,668.2677637,0.597615771,29.2635059,2.858575734,195.7011289,3.536195286
34,1582.191   (34),1582.191,40.82250848,0.0073581,0.214031175,352.6787195,4.853802793,10.39168268,8.840724727,572.115815,58.67777743,71.20789048,3.015212031,1508403134,0.680147199,0.59689016,605.1534518,0.62728852,0.204934466,1686480656,1556077097,71.96280446,0.681532287,629.7518329,0.821525912,25.46353256,2.04462748,490.8266,3.736302551
35,670.422   (35),670.422,62.67966374,0.468531715,0.621194991,372.1019259,6.476886696,11.06232864,10.34920748,516.3034184,118.1425615,60.62787961,2.83276428,2084107703,0.569685614,0.757361464,366.8154125,0.776735556,0.339449154,2125275308,1086573551,66.26893477,0.440878555,830.5609625,0.801530529,23.95348446,4.204813184,411.7663523,9.723475935
36,887.931   (36),887.931,55.08335446,0.402666287,0.402887994,339.0778428,5.650943934,8.982724568,9.054767023,1039.650361,112.6687508,67.92784991,7.42157815,1323907565,0.624754022,0.241154583,686.5669686,0.676078949,0.346425538,1658631212,1326614195,67.48298777,0.656482579,732.747597,0.627901424,39.47707894,2.711864691,446.1990644,3.868156834
37,265.55   (37),265.55,44.80773557,0.231328425,0.270516888,357.6269328,5.110705071,8.944912378,10.55663531,735.8165152,123.0007019,45.11687903,6.063190205,1810840639,0.571867123,0.528326419,676.6789463,0.764902284,0.558982628,1245505176,1509059064,71.33232117,0.347345833,716.6266071,0.844611826,35.68599656,2.690549554,466.0853882,6.981158035
38,260.371   (38),260.371,54.57384237,0.071531109,0.839511968,409.1003144,4.673119303,13.39637846,11.59848964,715.8628543,109.8610042,77.80222894,4.219069325,2013635036,0.70574181,0.057246308,830.6153269,0.762394795,0.746264312,1489965295,1200742401,61.81797252,0.279361673,775.3166834,0.693298045,25.89889226,3.382451727,442.6234513,5.610165935
39,260.371   (39),260.371,48.84451045,0.39506226,0.673783506,327.9197283,5.52899436,8.322412326,8.495743815,1419.564354,97.66001178,102.6296241,5.799351741,1536572792,0.753350728,0.308867784,125.1218419,0.727927724,0.158445838,1809516377,1396022509,61.14063607,0.634021475,724.7812066,0.385656338,42.90742091,1.191992436,376.5398007,5.38957622
40,514.69   (40),514.69,38.01822141,0.475953045,0.831084275,398.334172,6.515238589,10.3332731,10.4672599,1289.866847,98.8012423,92.28176617,1.387462577,1997313696,0.66893717,0.508747691,299.4845081,0.559704505,0.169915262,1869550081,1583916565,54.14703133,0.826994413,840.2266172,0.529234797,30.42952134,3.09937399,308.9772926,2.582623796
