,,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold
1,533.08  (1),533.08,44.47539411,0.40631482,0.951106601,253.0980408,5.717991994,8.588456958,9.735808139,1462.433636,114.3527657,74.64693352,7.394201314,1849301501,0.808000695,0.733257289,32.58915391,0.6352215,0.618825701,1148838642,1572458724,59.9669083,0.497879971,709.4084883,0.85807878,38.08103391,3.59106582,416.7907451,0.541607991,1.429170037
2,313.595  (2),313.595,60.78561864,0.239628735,0.353652583,416.7463958,6.018189743,11.36517271,13.24587122,1728.534867,38.1367552,113.9265685,9.884269475,1525636661,0.532112363,0.391820941,653.0259315,0.807472675,0.297062351,1521583977,1362803712,39.50828573,0.688979513,866.8948249,0.762731798,47.16997215,1.231552958,294.9882789,0.588464403,6.995983974
3,733.651  (3),733.651,23.14910163,0.555358277,0.681341428,374.1467112,4.968586123,9.236617665,8.812775857,512.8278692,56.46003244,110.222942,6.689338826,2033057508,0.658368289,0.557760429,457.7079388,0.538382669,0.489547204,1759948979,1843636930,45.76493832,0.177283232,562.5579424,0.375732653,22.23754408,2.22687485,224.8239299,0.826688114,8.256663284
4,606.895  (4),606.895,14.31676314,0.982338633,0.625691462,214.5150737,6.718800969,12.36974708,10.40424214,875.8698333,107.7255441,83.85684004,1.220602089,1107626135,0.621209574,0.324176782,937.5916195,0.876615523,0.744176322,2124195457,1982919947,69.73594302,0.513754536,660.561462,0.642592738,31.38368734,3.739752755,497.5047413,0.747832054,4.583286469
5,291.355  (5),291.355,6.808611652,0.743678781,0.326078899,477.9656132,4.290129299,13.17406798,11.7568483,1099.208315,94.27499625,56.39254888,3.786170354,1778529988,0.869520392,0.921820763,802.5051851,0.732464717,0.044157415,1948975266,1196867369,26.59486746,0.043574913,755.8654039,0.167526306,21.2060413,4.481010488,121.4589938,0.888197073,9.858353746
6,274.617  (6),274.617,42.74683693,0.033513686,0.000923876,326.4228116,5.290443597,10.63325921,12.28810168,731.8711474,79.55514198,42.27657718,5.013350818,1316447705,0.728127152,0.143765301,172.536582,0.588660471,0.992542202,1269754190,1768567740,51.16779081,0.900965226,959.2260452,0.128523832,32.69173903,2.424150512,341.5396548,0.668051948,2.817527036
7,532.864  (7),532.864,38.32378658,0.098764846,0,322.7662765,4.963634588,10.5882962,11.4501147,384,79.32184868,32,3.40760769,1226035684,0.677772208,0,73.52957085,0.542854418,0.853622658,1162645003,1642355496,50.60508323,0.684423041,904.3424715,0.32475203,30.36518671,1.78031479,329.6337968,0.640123438,1
8,275.79  (8),275.79,38.76609161,0.09223973,0,323.13193,4.996315489,10.5927925,11.5339134,417.7004978,79.34517801,32,3.568182003,1235076886,0.682807702,0,83.43027196,0.671616551,0.867514613,1173355922,1654976720,50.66135399,0.70607726,909.8308288,0,30.59784194,1.844698362,330.8243826,0.642916289,1
9,288.587  (9),288.587,39.16416614,0.086367125,0,323.4610182,5.0257283,10.59683917,11.60933223,449.1175627,79.3661744,32,3.712698884,1243213968,0.768914657,0,92.34090296,0.513999999,0.880017371,1182995749,1666335822,50.71199767,0.725566056,914.7703505,0,30.80723165,1.902643577,331.8959098,0.645429854,1
10,285.77  (10),285.77,39.52243322,0.081081781,0,323.7571975,5.05219983,10.60048117,11.67720917,477.3929212,79.38507116,32,3.842764078,1250537342,0.691418397,0,100.3604709,0.521466046,0.891269855,1191671593,1676559014,50.75757699,0.743105973,919.2159199,0.271574188,30.99568239,1.95479427,332.8602843,0.647692064,1.653003795
11,289.052  (11),289.052,39.84487359,0,0.096069082,324.0237589,5.076024206,10.60375898,11.73829842,502.8407438,79.40207824,32,3.959822752,1257128378,0.695089273,0.007384704,107.578082,0.528185488,0.901397089,1199479853,1685759886,50.79859837,1,923.2169324,0.257269152,31.16528805,2.001729894,333.7282214,0.649728052,1
12,321.458  (12),321.458,40.13506993,0.072043843,0,324.2636642,5.097466145,10.606709,11.79327875,525.7437842,79.41738462,32,4.065175558,1263060311,0.698393061,0.021022764,114.073932,0.534232987,0.910511601,1206507286,1694040672,50.83551761,0.773099231,926.8178437,0.012653043,31.31793315,2.043971956,334.5093647,0.684543454,1.009369087
13,273.533  (13),273.533,40.39624663,0.068190828,0.077991493,324.4795789,5.11676389,10.60936402,11.84276104,546.3565205,79.43116035,32,4.159993084,1268399050,0.70136647,0.033297017,119.920197,0.539675735,0.918714661,1212831977,1701493379,50.86874493,1,930.0586639,0.024240122,31.45531374,2.081989812,335.2123937,0.653209592,1.190184882
14,298.713  (14),298.713,41.0367258,0.0483822,0.041604882,324.5623672,5.099626037,10.61464246,11.70883417,615.4987741,79.4634715,34.23846182,4.153510293,1234417657,0.684361001,0.022524073,111.5135496,0.52997488,0.943504974,1172604083,1687548321,50.81947294,0.956094169,932.1850544,0.007616701,30.60368967,2.030582419,337.1276463,0.653364069,1.56831176
15,295.371  (15),295.371,39.92513763,0.084729425,0.056205192,324.5316531,5.092512739,10.60400405,11.88017288,538.1834887,79.42052657,34.56017651,3.864432076,1275036119,0.713478812,0.061997334,125.9427123,0.543290963,0.907145309,1224867938,1738981705,50.9909097,0.985576776,944.2779803,0.04005187,31.13145645,1.854376938,334.0199078,0.65415545,1.277090548
16,290.984  (16),290.984,40.01927019,0.06629862,0.050114842,324.5898707,5.047641375,10.61004768,11.76229243,548.2591477,79.45366558,35.35995909,4.467909141,1261837523,0.704889905,0.049363609,102.2692777,0.553229179,0.966403831,1199584146,1694973435,50.91159177,0.990873664,919.1279178,0.054647067,31.38178444,2.088768374,336.8073079,0.653319283,1.414412545
17,277.399  (17),277.399,39.67963692,0.061622412,0.061688991,324.0088792,5.084839697,10.61575237,11.77872237,501.3267963,79.42592318,36.03526288,4.327327517,1256393666,0.709314966,0.020993747,118.320714,0.567741028,0.94838394,1210821144,1716419366,50.97663886,0.97193101,940.8853192,0.002983563,31.5397514,2.005834586,333.10861,0.649326063,1.419888641
18,297.106  (18),297.106,40.03771816,0.058757626,0.038057469,324.5149983,5.200872311,10.60982622,11.95714241,461.215675,79.405359,34.25636983,4.089953593,1261413638,0.712482662,0.016712573,106.1456387,0.525412924,0.953070405,1196252588,1703636945,50.89556938,0.990893535,944.2894375,0.024391912,31.62767727,2.034924553,336.2300768,0.649657331,1.452568679
19,392.207  (19),392.207,40.57648446,0.064105657,0.043406613,323.9953779,5.103625657,10.60808346,11.85815594,624.7718646,79.41288955,32.82121425,4.18280736,1259843427,0.700033997,0.059301132,130.0615125,0.538734221,0.895898159,1207530963,1705609466,50.89787546,0.956511792,937.2821933,0.010566667,31.26192907,2.065801686,335.9817933,0.646575512,1.656937626
20,296.874  (20),296.874,41.126093,0.070157288,0.057257636,323.7433853,5.129345968,10.61215123,11.83044368,522.3266882,79.44299259,34.65397253,3.868471213,1258995782,0.706738286,0.038634519,116.9202404,0.528875352,0.91854968,1221078158,1724639172,50.88376945,0.975331982,933.9303375,0.024789537,31.65849491,2.130524816,334.7981176,0.652011216,1.52625399
21,308.673  (21),308.673,40.88938641,0.061578353,0.062639395,323.8596796,5.132374895,10.60364725,11.77268253,533.2706938,79.39922592,33.8615764,4.213626709,1267104573,0.697116521,0.005263497,111.9998564,0.535008272,0.924132182,1211758277,1700895469,50.79116369,0.983395116,936.3076216,0.012965881,31.52432041,2.144512004,335.0444646,0.650409711,1.470435698
22,300.241  (22),300.241,40.29851271,0.070085933,0.086650212,324.2777291,5.164747422,10.61356647,11.81907235,516.485928,79.39605755,32.74955535,4.053214284,1275321088,0.707236314,0.0325964,114.0541932,0.534250089,0.940668798,1210370429,1703862190,50.83430716,0.987441909,936.159311,0.007604184,31.63798124,2.108578742,334.9164429,0.654167936,1.355481801
23,294.967  (23),294.967,40.23711027,0.063312274,0.071969091,324.4797781,5.136479997,10.60586442,11.8175872,537.3964027,79.45218755,34.26020452,4.187004768,1263601424,0.705260458,0.012796548,127.4733052,0.543437144,0.925812827,1218131898,1710942568,50.90209027,0.991015555,930.8009814,0.019180573,31.35435519,2.011386162,334.5091243,0.64920479,1.469645079
24,289.872  (24),289.872,40.7179859,0.062088463,0.069590242,324.5013847,5.113288905,10.607535,11.87096471,506.0160221,79.44017582,34.27848277,4.002676632,1268345720,0.703696977,0.022707688,113.7105605,0.546892469,0.926071693,1205175717,1698473198,50.82869556,0.974774223,936.5861064,0.01163065,31.66067818,1.981380457,334.5656121,0.65233609,1.268552833
25,320.744  (25),320.744,40.46920583,0.060575113,0.079164369,324.6220954,5.130503507,10.61137132,11.90981562,512.3380082,79.42572582,33.55368913,4.12123834,1270807971,0.704141448,0.009221859,124.9342431,0.545100361,0.930339574,1208574512,1710562890,50.92896577,0.999981325,930.0816699,0.026978992,31.47182094,2.038801052,335.1743058,0.655234125,1.166940451
