,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold
1,1231.496,27.85536429,0.720324493,0.000114375,290.6997718,4.440267672,8.554031569,9.117561268,857.7637568,70.08967753,83.72640646,4.77275063,1809490228,0.5817809,0.878117436,28.04489543,0.768187004,0.417304802,1673630458,1224481151,33.50887148,0.800744569,984.1307879,0.313424178,38.1543237,4.505556609,457.8426654,0.534017685,1.351493049
2,332.617,12.52948601,0.878142503,0.098346834,326.3322875,6.87366859,11.19899171,12.15126268,816.5719301,97.90408906,112.1240645,1.164594496,1879202700,0.895544436,0.748165654,287.1746479,0.815711731,0.103226007,1554663835,2049338816,38.09347912,0.287775339,565.0142861,0.019366958,37.72273705,1.846512464,206.2186637,0.696629264,1.480262906
3,286.657,37.59529154,0.146728575,0.589305537,409.927508,4.307003286,10.48433593,12.16640095,951.8397785,36.79553206,83.44605497,6.974151807,1626599410,0.877837902,0.586555041,925.0835613,0.554989882,0.139276347,1940671618,1500744075,31.93700146,0.92750858,673.8829299,0.750812103,39.23193553,4.533224365,349.4688828,0.800376974,4.140085078
4,738.321,18.73552929,0.895886218,0.42809119,489.4520141,5.990324493,11.73017432,8.688475838,1685.749774,75.19156481,87.52540298,4.673231225,1328247288,0.861351808,0.573679487,2.93921488,0.746857965,0.326644902,1639666151,2025014909,41.14894848,0.908535151,811.6800579,0.015821243,45.74199148,3.76358767,498.9291402,0.568936203,2.234221747
5,275.076,59.82091871,0.696818161,0.066000173,426.6389158,6.261628565,13.53814721,12.26914855,554.3754889,33.90849285,34.51625474,1.254758392,1338108625,0.844011179,0.538831064,566.0897062,0.836812357,0.124173315,1373513016,1702696052,70.54059592,0.561030219,509.3236447,0.800632673,23.45517676,4.228420782,255.1442576,0.845416742,7.724094785
6,576.381,36.48689451,0.136455226,0.05991769,236.4030367,4.133655636,8.644964775,9.354256032,1361.507892,85.73283028,33.2053741,1.647768517,2112346370,0.727240185,0.203293235,258.3815624,0.797530342,0.195429481,1697971218,2115292855,64.64778247,0.239847759,746.8848571,0.619955718,42.52738879,1.627165579,107.4304809,0.528008857,5.377105998
7,294.879,15.85337029,0.605142609,0.26637746,397.9110454,6.772460401,11.59338087,12.77349381,1512.049244,120.4261921,91.1180855,3.138774453,1941290953,0.835685622,0.655972754,495.1379489,0.665212734,0.368750657,1074290965,1969213956,51.00673556,0.679354054,703.4660056,0.170825725,39.90678404,2.799757753,189.2379835,0.655319018,1.681733527
8,279.596,23.33508808,0.177859882,0.421673451,494.1723848,6.36896719,10.45261671,13.58969203,1403.473769,97.30835542,106.8597206,2.731231996,2027401538,0.721719348,0.231509305,838.8483639,0.623610691,0.595500434,1553920743,1873869629,63.51288232,0.602887775,578.6623866,0.471796946,20.71092235,3.673235433,261.5108568,0.691020526,5.605859569
9,283.502,62.17313838,0.30842137,0.572030252,399.8093516,5.854373144,12.71054249,13.00732493,851.1144958,40.49931146,109.0958247,1.148992344,1401563578,0.891052311,0.132657974,969.5867655,0.599278027,0.278411359,1348892581,1913509105,64.56323709,0.987373283,545.7938443,0.501770858,26.86070928,3.403099097,361.1160856,0.831840818,4.621787142
10,253.471,37.50024781,0.274001162,0.687039715,435.3588295,5.299126016,13.17003565,13.15918782,1066.577588,54.68175749,98.26373886,5.042330676,1901053268,0.833989053,0.815707635,1012.933098,0.612933203,0.036652751,1308189947,1887004950,28.88626423,0.69079437,660.7625161,0.937655807,32.33459511,1.909503198,182.391828,0.856990249,8.179083018
