,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
1,209.646,39,1,1,308,3,6,6,497,95,126,4,1334243554,0.79,1,934,0.61,0,1085153271,1768916002,53,0,744,0,46,4,244,4
2,300.603,58,1,1,358,1,8,3,384,80,84,6,1660511439,0.54,1,1008,0.6,0,1269014963,1902051975,46,0,512,0,33,5,220,2
3,210.803,48,0,0,360,2,8,4,445,93,118,5,1439489439,0.71,1,535,0.87,1,1364761151,1141528201,69,0,594,0,27,4,161,3
4,207.942,57,1,0,342,2,8,5,396,75,64,5,1620198784,0.63,0,0,0.6,0,1827248640,1675501952,54,1,767,0,20,4,212,2
5,220.532,58,1,0,346,2,8,5,384,74,61,5,1638957056,0.63,0,0,0.62,0,1814493696,1691712000,56,1,751,0,21,4,214,2
6,216.546,56,1,0,339,2,8,5,431,74,67,6,1611314176,0.64,0,0,0.63,0,1739004160,1668868992,54,1,759,0,21,4,219,2
7,221.699,47.90198917,0.412017568,0.504452203,246.6054716,3.241670127,7.485993209,5.354660055,564.8818225,77.48424391,63.43958083,5.797669287,1827599959,0.774682859,0.291502133,512.5557452,0.751387008,0.178509618,1765914958,1571611399,28.42067744,0.820719553,887.5744334,0.190413982,20.30558052,3.222310796,311.9076462,2.679306053
8,180.381,44.46926022,0.373451532,0.356066677,386.5328195,3.206686494,7.853275939,3.718738608,453.6437228,74.79330617,53.75457238,7.271519667,1494829466,0.74480432,0.103689378,688.3522621,0.516893435,0.101724414,2005462381,1512681594,49.40110543,0.812519878,895.8855451,0.408560152,24.98929663,2.677648582,208.6497933,2.358709446
9,216.022,36.98383102,0.878995694,0.08997303,435.8670336,2.571786898,6.283924828,4.243546899,516.8519445,56.71367659,51.15427662,9.349629499,1393250227,0.691324825,0.498968875,664.4196762,0.563702619,0.40413496,1640135442,1449800887,65.29168657,0.627902339,783.7392815,0.979893755,36.30017614,1.469128373,187.9396707,2.307702664
10,275.193,45.59037143,0.331126864,0.44766925,397.5009249,3.230585484,4.839008633,4.972046855,642.4888315,62.09760384,43.68854262,9.520186436,1505801994,0.675290796,0.035786807,770.2882834,0.63677683,0.310628365,1697222281,1357861675,25.79543897,0.692182465,816.7148634,0.557818785,23.91360498,1.976315709,294.0556184,1.981528019
11,177.087,32.3652006,0.438070721,0.298469936,305.6056992,2.813603982,7.661136134,4.012015622,722.4150684,107.3659358,94.57836368,6.937902079,1627526401,0.880864049,0.469645307,773.0084987,0.604066421,0.580971077,1947698996,1424525505,47.12772851,0.888148431,844.934923,0.836012573,33.09747356,1.945762168,170.3523424,1.32717839
12,190.446,41.40599583,0.341443645,0.573540081,354.9695104,3.275226439,7.517215642,4.388921643,575.2840685,83.06880325,54.62368979,4.550342634,1254732203,0.775633432,0.068969913,881.8301868,0.512680792,0.663715014,1924835610,1567848720,28.26264236,0.861445944,980.5557599,0.803866052,24.49463301,1.361443431,170.3902587,2.626839016
13,265.114,47.44697902,0.148963465,0.220232687,401.4340557,3.253668619,5.389114527,3.893028433,824.8562708,119.9611605,115.870553,7.145721982,1685239038,0.859798412,0.680337554,888.9377367,0.634784272,0.809873055,1876779716,1392501853,70.51186024,0.843989801,762.1778117,0.755123837,36.89571888,3.30091016,199.4553966,1.013051888
14,182.271,40.19549906,0.815005944,0.626236521,367.9110223,3.530062983,6.210420479,4.611876548,484.8913108,85.63678278,51.26031737,5.371046594,1214595580,0.845012916,0.861199222,731.3397155,0.555262991,0.305745561,2024573900,1539527215,36.32127047,0.618525402,860.0054144,0.780369389,25.0110331,1.827797238,196.6560105,2.239764941
15,289.781,46.16762042,0.263532632,0.716553582,348.4924697,1.669714263,6.263536839,4.385078492,701.9470717,101.8010952,88.44580614,7.626835212,1358521332,0.840734723,0.355244134,667.2725011,0.648099336,0.400720131,1850983370,1228666247,54.50316272,0.475392171,851.3987321,0.765780198,24.62540505,3.832701692,160.0102726,2.041252622
16,157.844,33.56971003,0.63147719,0.650293064,425.7128871,3.729960901,6.895443049,5.458638241,445.330665,88.65263704,92.90489331,6.489531048,1712031142,0.707254911,0.35317854,699.8521758,0.662155447,0.255411104,1861967979,1523181023,32.08507185,0.551004563,883.136437,0.577706808,20.52462375,2.404026958,234.1827958,3.215114203
