,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
1,383.271,49,0,1,475,1,6,3,384,72,51,4,1906989444,0.65,0,0,0.77,1,1232276531,1175784217,45,0,765,1,35,1,251,1
2,296.922,37,0,1,448,2,5,4,384,65,103,9,1746082848,0.52,1,613,0.63,0,2093267863,1786527660,41,1,802,0,34,4,202,4
3,378.018,58,1,0,260,1,6,3,384,115,32,6,2109930116,0.53,1,805,0.57,0,1448576140,1548236555,60,1,581,1,38,4,247,1
4,194.471,38,1,0,350,3,7,6,483,86,120,10,1770962944,0.5,0,0,0.8,0,2035262464,1163438464,42,1,769,1,26,5,232,2
5,223.126,39,1,0,350,3,7,6,507,87,111,9,1727322880,0.53,0,0,0.8,0,2014824320,1174172288,42,1,757,1,26,5,229,2
6,212.882,44,1,0,350,3,6,5,583,84,99,8,1670812672,0.62,0,0,0.74,0,1800095360,1395482496,42,1,748,1,29,4,254,2
7,187.8,53.31937884,0.407692862,0.408721627,428.5731436,2.61681428,7.441458727,5.989917181,776.8217306,39.17993367,110.5901733,5.960609936,1820950994,0.581948713,0.317771678,790.1742286,0.64378785,0.178195136,1656231737,1205971684,28.47079051,0.742507504,595.6863888,0.8949256,47.34150835,3.024977379,251.3946669,1.390513689
8,223.921,61.51561379,0.303902612,0.136242876,381.4173558,3.071774884,7.171887025,5.097254798,837.4455939,70.9301648,114.9323746,5.62389895,1875612689,0.534431639,0.264221155,909.4523239,0.772170497,0.384807612,1384070643,1356311946,41.81270171,0.358575054,669.226467,0.515065337,42.59963418,1.664949508,282.1851661,1.216283948
9,215.047,57.6139638,0.290829384,0.122417512,367.2538574,1.932900598,7.734304283,5.272835568,704.1802988,58.93944877,125.1590169,4.423048954,1456625619,0.721569377,0.322301855,713.713169,0.615504624,0.244076082,1375633976,1233523155,33.91899073,0.752239981,673.990499,0.827846005,47.80160007,2.234660785,184.6989527,1.839606521
10,189.414,58.89002615,0.119893931,0.420862471,403.0028018,2.64069286,7.697418905,6.418947923,856.6886687,44.06508715,127.3185735,4.494648609,1831143037,0.672749197,0.459500868,940.2564954,0.579306758,0.229249842,1509467486,1517476411,33.61327705,0.494265606,596.3360506,0.691274028,44.72435238,3.991711508,304.4895687,2.30088551
11,241.791,56.5224946,0.233033758,0.693108082,381.0032722,2.015460519,6.466413689,6.830293225,790.9516098,43.65569587,96.68816612,4.631035567,1888464959,0.568155079,0.603629891,715.8365085,0.528977524,0.109930052,1868385180,1130065901,37.39047532,0.823285668,567.6876904,0.946137622,43.79975424,3.988950566,202.4596057,2.037661859
12,249.352,45.75904265,0.657168943,0.551476191,366.4853106,2.04892677,7.362265923,5.563207599,744.1265872,62.69054393,87.64015695,4.458354323,1701159089,0.56576995,0.11061846,659.4968542,0.574883083,0.367635588,1644857347,1091568751,32.13389784,0.494952894,625.3758488,0.838603795,40.41134836,3.333703873,232.1356386,1.624402225
13,216.064,53.267064,0.207412627,0.26580976,410.6987496,2.185302535,7.800069867,5.848301972,695.1311689,45.2150173,116.8829367,4.672886096,1767722519,0.560153319,0.20696109,698.6223612,0.692612297,0.354346248,1512424472,1074161326,38.11311606,0.560775967,595.7339037,0.726921334,41.78570104,3.17096002,227.0989372,1.992083995
14,244.476,59.67330798,0.241208624,0.297609609,421.9307802,2.731238759,6.639834824,5.20795366,706.903179,53.13966908,90.99272035,4.727511565,2020515359,0.523255705,0.218990552,873.4542949,0.711772077,0.340824866,1585209944,1137125515,29.86955118,0.730534542,548.7591856,0.979786802,47.49906114,3.654517652,214.3643654,1.10414841
15,234.959,48.95417451,0.486166435,0.422834163,402.9339232,2.900193848,6.883451431,5.401437509,845.652484,44.69710797,92.88812426,6.99856349,1692182915,0.593199471,0.193222934,783.662762,0.687224742,0.250539556,1664269327,1227629789,26.74411554,0.906303394,682.8719146,0.94136859,47.89020801,2.61175651,278.6041158,1.284588352
16,228.43,56.14498077,0.354958793,0.356679497,414.9544494,2.318684933,7.895751996,6.504113246,846.0747474,36.58604568,102.3035555,5.40285852,1881786052,0.56697777,0.372457235,746.9125797,0.623993546,0.047421415,1565897171,1292453491,26.39590388,0.795266669,627.5698679,0.949912469,46.97722538,2.900654355,264.8106249,1.648344701
17,185.947,57.87521477,0.283110179,0.414464498,419.9569655,2.697119842,7.625324654,5.801317955,718.297372,47.7420765,105.6511262,5.870289995,1902558343,0.549175195,0.338447353,803.450608,0.609263136,0.260282119,1548496919,1354785829,30.76225459,0.844326981,606.0616049,0.951735589,46.60140718,2.461469649,264.495647,1.401673557
18,237.354,60.98816258,0.341549793,0.308434116,425.3006173,2.388476179,7.142333266,5.510989176,671.9482142,38.41907693,108.6555325,5.587817339,1925669748,0.531951768,0.441894747,844.0293519,0.625738523,0.176284399,1608442883,1444687863,24.99812049,0.793908614,664.1826708,0.951875813,44.02559962,2.412976596,238.9073305,1.728652959
19,247.177,54.67898354,0.168365965,0.525651375,427.2372332,2.543049404,7.265846003,6.122211351,764.6782035,43.4991096,106.0596356,6.336941153,1891473665,0.534547556,0.400997365,797.9947685,0.57657214,0.184005251,1667392275,1232023225,26.60432093,0.771132052,629.2462626,0.944128388,44.61343378,2.323527914,262.827789,1.51884767
20,179.578,60.40584627,0.194982105,0.517202453,393.7832951,2.55240161,7.431031891,6.170730348,733.325726,39.60615193,114.651727,6.075005518,1981097129,0.55079392,0.334070278,826.7662403,0.613810543,0.325443566,1546584562,1324411459,27.70400043,0.75734977,587.8986018,0.896087695,43.35286118,2.123898347,282.9942952,1.125762576
21,222.398,63.13808525,0.212790427,0.46861726,416.589511,2.36686571,7.610948584,6.140393842,717.7881327,42.76687068,113.2411202,6.245225333,1954212234,0.583038516,0.425789284,855.3741889,0.643161857,0.27161484,1577205269,1277760510,31.79536717,0.82859099,618.1348706,0.967862874,45.42917054,2.061974086,282.751075,1.001080914
22,261.945,62.29900586,0.268921032,0.529950757,395.9748477,2.400820488,7.12905569,6.466878622,754.1846743,45.49183302,108.6197335,6.290546957,2062834996,0.534584625,0.315061295,816.6808381,0.604084785,0.345553172,1584714575,1350173840,29.79045704,0.763281415,605.5981515,0.92528366,44.62256085,1.823865212,267.4200452,1.318886343
23,218.978,61.5127696,0.167691934,0.460339015,390.600659,2.357758459,7.375329476,6.011200157,741.1813562,45.13667168,110.146768,6.373946793,1936685023,0.531551413,0.387182104,805.5812551,0.639131879,0.393097339,1507553952,1325733026,27.93925705,0.697501953,602.7173603,0.85851835,45.31050586,2.426322189,277.4298786,1.198932936
24,222.578,62.02461957,0.138707853,0.548046839,402.4111859,2.452633373,7.638006757,6.233682473,713.2797559,39.83731337,114.9550822,5.823535505,1992668808,0.560109614,0.385433739,862.4371192,0.617399264,0.31119653,1530190087,1337072288,25.19948116,0.730548887,605.2711016,0.892590767,41.95271763,2.037918919,283.5601121,1.007581757
25,190.821,60.05355167,0.188340521,0.548135163,380.9325133,2.645594908,7.257920886,6.021272097,731.4953416,43.78313547,113.126379,6.343242654,2031478085,0.529143591,0.297384097,838.3204374,0.593453344,0.305166129,1548850369,1332873818,27.55890089,0.713830442,614.9942673,0.946743355,42.58712804,1.912715973,291.926669,1.202641581
26,257.736,60.37400483,0.206692361,0.486894476,390.354109,2.421819747,7.303548911,6.34346061,706.555227,40.62818846,115.8986865,6.27961413,2036254347,0.555982702,0.350822288,822.7946828,0.612661181,0.354842201,1509048221,1284615544,29.44622562,0.775645848,574.4070551,0.896563092,44.90871823,2.031794448,290.0443957,1.057567557
27,219.928,59.62658011,0.202804888,0.55401876,386.2459711,2.47746839,7.451357163,6.334196489,727.6239417,35.2422176,116.3882665,6.337844717,1932880068,0.539302493,0.281111717,839.7678533,0.629401344,0.335287688,1494679085,1303631200,28.56828763,0.744752065,590.1440044,0.883163657,43.17270502,2.189509111,285.1255241,1.11696466
28,247.427,60.30255597,0.18195493,0.545773926,397.4027319,2.450018013,7.259200518,6.120939901,731.778767,36.15137377,117.8738222,5.989311933,1965071570,0.543975383,0.375652318,829.496327,0.616252352,0.366383618,1536135618,1322097520,28.14654826,0.763647281,603.1001157,0.906473731,42.13212465,2.105142961,274.5999959,1.238134364
29,227.573,60.31395808,0.191010429,0.541578517,391.2285569,2.463313024,7.399737657,6.049327077,733.0334455,42.29613081,116.5924534,6.061248734,1948493980,0.552605002,0.37327882,834.3666044,0.617270247,0.349885659,1532613683,1343003212,26.83989087,0.760446039,582.0366716,0.886437361,42.10910174,2.026384116,285.8869926,1.066088678
