spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,spark.storage.memoryFraction,runtime
64.0,0.0,1.0,223.0,4.0,7.0,7.0,530.0,128.0,103.0,5.0,1789368899.0,0.6523809523809524,1.0,693.0,0.8047619047619048,0.0,1802217029.0,1423053345.0,64.0,0.0,800.0,1.0,48.0,5.0,237.0,2.0,0.5190476190476191,144.82
64.0,1.0,0.0,308.0,4.0,8.0,6.0,856.0,32.0,93.0,10.0,1858455182.0,0.6777777777777778,0.0,1013.0,0.5126984126984127,0.0,2147483647.0,1172434848.0,45.0,1.0,673.0,0.0,48.0,4.0,251.0,2.0,0.626984126984127,142.662
64.0,1.0,0.0,299.0,4.0,8.0,6.0,856.0,32.0,34.0,10.0,1858455182.0,0.6777777777777778,0.0,1013.0,0.5126984126984127,0.0,2147483647.0,1172434848.0,45.0,1.0,673.0,0.0,48.0,4.0,251.0,2.0,0.626984126984127,149.793
64.0,1.0,0.0,308.0,4.0,8.0,6.0,839.0,113.0,128.0,5.0,1491093390.0,0.5,0.0,1024.0,0.6206349206349207,0.0,2147483647.0,1172434013.0,45.0,1.0,673.0,0.0,48.0,4.0,251.0,2.0,0.626984126984127,149.153
64.0,1.0,1.0,315.0,4.0,8.0,6.0,857.0,32.0,88.0,6.0,1286888815.0,0.6777777777777778,1.0,1022.0,0.8682539682539683,1.0,2147483647.0,1346732604.0,26.0,1.0,580.0,1.0,48.0,4.0,263.0,3.0,0.5444444444444444,140.25
64.0,0.0,1.0,308.0,4.0,8.0,7.0,856.0,47.0,128.0,5.0,1491093390.0,0.5952380952380952,0.0,1024.0,0.5952380952380952,1.0,2147483647.0,1181248984.0,37.0,1.0,545.0,0.0,48.0,4.0,248.0,2.0,0.626984126984127,149.534
64.0,0.0,0.0,299.0,4.0,8.0,6.0,856.0,128.0,128.0,9.0,1279645506.0,0.607936507936508,1.0,1024.0,0.5761904761904761,1.0,2147483647.0,1181241983.0,33.0,1.0,962.0,0.0,42.0,5.0,251.0,2.0,0.626984126984127,139.662
64.0,1.0,0.0,216.0,4.0,8.0,6.0,856.0,128.0,60.0,9.0,1279670414.0,0.5,0.0,1024.0,0.607936507936508,1.0,2147483647.0,1175950078.0,33.0,1.0,962.0,0.0,42.0,5.0,350.0,3.0,0.7095238095238096,147.896
64.0,1.0,0.0,308.0,4.0,8.0,7.0,863.0,128.0,101.0,6.0,1790205295.0,0.6777777777777778,0.0,926.0,0.7793650793650794,0.0,2147483647.0,1337619152.0,46.0,1.0,673.0,0.0,48.0,4.0,350.0,3.0,0.7095238095238096,148.794
64.0,1.0,0.0,216.0,4.0,8.0,6.0,856.0,128.0,60.0,9.0,1279678606.0,0.5952380952380952,0.0,1024.0,0.6396825396825396,1.0,2147483647.0,1175952639.0,33.0,1.0,962.0,0.0,42.0,5.0,350.0,3.0,0.7095238095238096,151.854
