,,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold
17,154.749  (17),154.749,55.59501923,0.977963554,0.345657335,421.7227535,3.629381711,7.997869276,3.464388866,434.6573342,75.68820343,39.35628404,9.80550521,1557305891,0.786632993,0.748588294,526.0348095,0.510461214,0.127406964,2091943568,2135398388,27.75382092,0.065980122,575.6003544,0.043059988,41.16540412,1.673499746,187.2721764,0.568953845,3.38540599
11,159.7  (11),159.7,56.68581949,0.983119859,0.365087998,410.5304949,3.736059225,7.974700398,3.656945041,470.5377886,76.08085366,39.27574406,9.626240265,1546409488,0.781447615,0.761012748,540.2587279,0.512671758,0.132423355,2078375011,2125782238,28.98219404,0.063767445,574.8570795,0.035962309,39.16891666,1.837839546,196.2538386,0.585268607,3.302343487
13,159.759  (13),159.759,55.34648296,0.984194227,0.359420103,380.4060263,3.858426328,7.96229681,3.754956939,419.9165098,67.88906963,34.92486553,9.301914444,1508572459,0.791956159,0.79183283,514.0649362,0.508528983,0.081389568,2055251443,2147229394,26.64709816,0.066818856,579.8896873,0.026861293,40.48598247,1.984764997,202.4494189,0.553647265,3.24121357
12,160.65  (12),160.65,58.26542729,0.988894878,0.352299912,390.9720168,3.979538161,7.932298243,3.34170043,426.9681503,85.57715599,42.77218159,9.884247514,1471920480,0.803793571,0.772851378,544.9221647,0.506273588,0.089599096,1987205785,2083926648,26.90019838,0.02274538,530.3067846,0.02817296,40.51030838,1.572324563,173.3404484,0.546100598,3.543294153
16,160.86  (16),160.86,57.2255686,0.990840783,0.392420875,401.4490368,3.907239049,7.920765041,3.5098676,500.4315093,70.76680999,35.24709519,9.784020556,1550548245,0.805473691,0.742077845,529.2179467,0.506106131,0.107345288,2044456668,2146931419,28.58838426,0.141467483,565.3482499,0.040616841,39.01706239,1.826156831,202.604143,0.570380508,3.251013617
8,161.436  (8),161.436,58.45048256,0.963451171,0.357616902,432.3998146,3.671178817,7.778242905,3.664921636,477.4893808,80.24142804,39.36155153,9.034051507,1517565953,0.734357431,0.690025351,552.3149266,0.52741105,0.201996229,2043431624,2076701759,30.92253443,0.150781397,533.4092905,0.148227468,37.40298255,1.53971424,195.8501021,0.523482615,3.258332302
10,161.801  (10),161.801,59.94001792,0.984713396,0.453146932,423.7438434,3.844195861,7.776526524,3.394276164,493.2938829,88.97031804,36.34874741,8.602352325,1393015791,0.791022813,0.711052621,569.4616846,0.516263706,0.212218395,2074058525,2109778803,30.0120198,0.164324082,508.5876508,0.050207044,38.4300475,1.022501314,182.6989237,0.521351319,2.960863121
9,163.866  (9),163.866,60.95943369,0.994997898,0.318777545,426.7128515,3.669777204,7.525236316,3.226813164,425.9339222,69.92148449,45.88732093,9.736994413,1379300256,0.762561708,0.740655415,528.9702085,0.51117845,0.25168265,2031031494,2117632649,29.33018605,0.061484963,524.9741649,0.202580343,40.69981727,1.011713757,193.3753288,0.516309058,3.498200876
15,165.76  (15),165.76,55.05863317,0.993755252,0.361516981,408.3399056,3.869786787,7.783229493,3.351361243,479.1580304,73.92934913,35.01097225,9.928132374,1520762884,0.774645043,0.743699706,524.6046201,0.50227513,0.103428911,2097494479,2107769118,30.88498364,0.023928737,543.5983049,0.032745905,40.91281584,1.902597248,207.3937139,0.574514878,3.26056212
14,167.797  (14),167.797,57.6835824,0.949209458,0.280730473,440.7037517,3.936215415,7.96375991,3.330951208,427.8230674,71.5083649,48.42751064,9.185982378,1461295319,0.807747885,0.731290602,521.0747575,0.507191245,0.106893673,2138573615,2098655607,30.00766821,0.055023159,546.4135064,0.030289358,41.1825358,1.98146733,183.1958443,0.560869456,3.488895129
2,189.39  (2),189.39,60.47493626,0.957320142,0.422191267,465.4573808,3.334140964,7.627342028,4.317261128,456.8015999,79.96158838,42.34607493,8.533028908,1612848127,0.664844612,0.707649138,565.1707123,0.546212203,0.274722647,2034450998,2032888047,33.44532298,0.154290453,620.1313912,0.212788414,33.0240895,2.008716913,201.2154333,0.527656829,3.128370678
7,210.316  (7),210.316,55.8804152,0.815838242,0.224735561,394.1849405,2.71708291,6.70368183,3.498128323,384,62.4763564,32,7.422221143,1417449095,0.581344812,0.583859702,512,0.542854418,0.162503872,1783390107,1838488017,28.65120432,0,502.2815982,0.426007208,26.66825894,1.256417728,158.426231,0.5,2.671866755
3,253.186  (3),253.186,51.96001376,0.680508483,0.183430223,230.3852278,2.893583254,4.748369806,6.584376543,738.2165685,94.19686549,105.0232845,4.895365655,1603651817,0.758430983,0.515733681,601.5074267,0.581811476,0.144108872,1159472058,1940342228,55.68428605,0.495134192,900.6504646,0.748384011,28.56945038,4.278305991,345.5353724,0.884827745,1.70243498
5,253.508  (5),253.508,35.42421065,0.032963877,0.590776591,251.2943101,1.782242478,6.149109088,3.442594226,622.5980631,96.73917129,82.63450862,6.248107944,1317268617,0.883347042,0.324969397,953.5359917,0.650456742,0.42123101,1608595941,1359023535,62.4108803,0.806161295,784.2549876,0.556949118,42.38467992,4.825824213,171.5262582,0.778243069,2.154695141
1,257.044  (1),257.044,39.29822377,0.257297172,0.757533224,391.3361175,3.9033945,7.228164998,5.661603506,484.6329784,43.79859955,58.34638498,5.774377934,1206833342,0.777690884,0.062388282,851.0766348,0.728603696,0.958748023,1871473950,1450455180,69.26186584,0.301499115,726.5131412,0.068956291,22.97961204,2.785983072,266.1372185,0.628645471,1.450500434
6,319.694  (6),319.694,45.38955098,0.551597253,0.956534009,312.4552439,2.479237887,4.490956103,4.854396844,643.2108401,57.47567645,125.1870539,9.709805786,1897380421,0.580079686,0.883196582,933.8159637,0.87718859,0.598680937,1327194589,1731440017,25.87435853,0.849023288,992.1203959,0.985248115,43.92142047,3.466170124,293.0901501,0.635763694,2.680651014
4,383.339  (4),383.339,57.48504457,0.465029603,0.012293449,408.4875453,1.159365846,5.53822905,6.076985815,854.4812176,126.6566812,76.31695756,7.505631932,2139151628,0.511935699,0.356021554,735.4041093,0.825799257,0.753329089,1763154982,1181356084,47.95894195,0.619115536,565.5185529,0.431232203,19.23532856,1.390367625,230.9972044,0.740965959,3.877208534
18,165.807  (18),165.807,54.48630424,0.990017545,0.321354875,405.2948166,3.599978952,7.982283853,3.480876274,401.7205915,79.37807277,33.71161957,9.882054744,1557004224,0.768101576,0.747951479,531.6029713,0.506075342,0.098762846,2129678793,2134116224,26.51669373,0.027369724,553.1924577,0.014841244,42.635916,1.48986758,183.2773303,0.561839496,3.393363616
19,157.95  (19),157.95,55.06424194,0.980417493,0.374581456,432.5167125,3.68633283,7.967497495,3.346988745,441.0570982,77.5081765,37.19288282,9.961467158,1522257896,0.805191314,0.751937517,520.1170739,0.531295804,0.124125497,2035081643,2140591638,27.67284139,0.003271199,572.7355866,0.065031088,41.91678779,1.583889527,180.641033,0.557830938,3.463349503
20,158.42  (20),158.42,55.36796181,0.99231991,0.314406295,420.364677,3.636103553,7.934534858,3.323862709,433.4534063,74.76482118,43.31871826,9.886283211,1529808940,0.804946271,0.763373577,517.5147469,0.500478592,0.146339063,2050835454,2132320286,26.75125433,0.040435646,573.2187776,0.034604661,40.59501792,1.549286056,192.9136854,0.566800834,3.374459562
21,158.23  (21),158.23,55.89834669,0.993985901,0.367357947,414.7374789,3.591542565,7.973482834,3.315506413,411.6385605,77.25163754,42.56309455,9.852694772,1540510399,0.789550774,0.742038764,516.0818904,0.508748952,0.108343607,2062575150,2141194633,28.4273465,0.051817763,571.9644707,0.055128281,40.95890796,1.558495711,181.1506134,0.558510853,3.354516148
22,169.431  (22),169.431,55.67916475,0.97799157,0.361628061,420.5513853,3.670332899,7.947742761,3.317715679,443.0586823,72.41992041,36.70853915,9.884820337,1558028094,0.796585935,0.765252142,532.2162142,0.502574311,0.123505215,2107143618,2112109399,27.18484728,0.082994941,596.7941702,0.02308548,41.71624832,1.601741839,182.4121443,0.561516742,3.454604262
23,158.681  (23),158.681,56.04234434,0.964360661,0.339209257,433.291434,3.673712656,7.992312667,3.550978837,419.9388454,78.57847964,35.35333856,9.922872993,1552903843,0.798208639,0.756460336,520.2539933,0.512808107,0.129719989,2050516399,2117775242,27.28824527,0.078079021,566.8936354,0.054342109,41.81941035,1.759096837,186.3112513,0.567080719,3.413066353
24,158.456  (24),158.456,55.63201729,0.96175872,0.318082339,419.3173355,3.571544108,7.98171014,3.454259431,439.4674925,74.21903709,41.42409674,9.957507287,1546110123,0.792410961,0.749739898,516.7426453,0.512706522,0.128886872,2097494138,2139158332,27.13196677,0.070257618,560.9634466,0.071213559,41.2722982,1.730431677,186.1834575,0.563924668,3.427647378
25,155.573  (25),155.573,55.6004032,0.988181421,0.353562555,421.3689305,3.672883477,7.977893328,3.376078725,433.6314388,75.98313382,39.33748137,9.763935105,1540355370,0.794188146,0.739342338,515.4326535,0.50495314,0.127808612,2072407763,2141166961,27.25466038,0.047671655,563.1463906,0.025303355,41.60029029,1.567943812,186.6669244,0.572571089,3.363364873
26,160.695  (26),160.695,55.26775457,0.971379624,0.336051232,427.6637997,3.679018748,7.986018306,3.445220387,425.7682324,77.07829021,41.30167535,9.834122337,1539298548,0.783688014,0.748445049,526.8774541,0.50385303,0.118615294,2075883269,2146866473,27.7035395,0.059349149,567.0347382,0.043016014,41.50562418,1.613227683,189.8252276,0.559829953,3.364189997
27,162.277  (27),162.277,55.75618289,0.986242563,0.330029528,421.4235283,3.630158558,7.971321838,3.393937504,430.825478,75.31480767,38.42837386,9.820331791,1572292015,0.794777039,0.740167006,527.0352489,0.518278994,0.128906421,2099537882,2145224914,27.54943278,0.076962715,566.6781493,0.052720925,41.42664356,1.734844162,189.4359775,0.575413539,3.425403771
28,161.769  (28),161.769,55.77952177,0.979580188,0.344654316,423.4783109,3.623534401,7.97811515,3.509770994,431.8565756,74.62033907,38.5932376,9.796578088,1548620680,0.794072455,0.754353463,517.695753,0.51830373,0.12587812,2104243363,2126577557,28.05550335,0.04165625,573.3527786,0.029568303,41.55548404,1.57931804,184.5360131,0.561976309,3.42254419
29,162.993  (29),162.993,55.4864934,0.987110243,0.351473645,418.6495129,3.599639372,7.987422836,3.405511538,440.3184422,76.53771988,40.00324263,9.818336998,1546731636,0.78740281,0.740441081,518.6912166,0.504725016,0.128869307,2109314848,2140337528,27.4920509,0.048224739,575.2735045,0.05453537,41.22366589,1.654222939,185.2127435,0.56405727,3.401827165
30,159.801  (30),159.801,55.50498439,0.972446712,0.342681384,422.7238388,3.657556241,7.97165521,3.457082852,431.2851303,75.06322927,38.90919323,9.821607551,1565516728,0.784716134,0.74667767,524.2004193,0.511717542,0.127010042,2081330398,2132847457,27.81484081,0.066949234,577.7941705,0.04301694,41.1831457,1.700291123,183.6796035,0.574045477,3.353907275
31,163.829  (31),163.829,55.53670933,0.975309587,0.339957703,419.1115038,3.590495359,7.965437127,3.492377174,430.7236347,75.85622142,38.78815307,9.802437315,1545344463,0.78532169,0.749187452,524.3776832,0.511938956,0.127201008,2075638780,2126746816,27.83776032,0.065259093,574.3045115,0.031866214,41.4478386,1.656557587,186.6867873,0.567944396,3.382130063
32,159.131  (32),159.131,55.5962166,0.97688052,0.350578616,420.801996,3.640797255,7.973023089,3.483730904,429.3706329,75.5585538,38.93387364,9.85033948,1565613819,0.788690461,0.752232752,526.6846655,0.508657818,0.126644453,2094652318,2132019572,27.66099053,0.06654327,576.8979489,0.048501746,41.24183487,1.655788354,186.1749009,0.570515588,3.384508965
33,160.751  (33),160.751,55.53448385,0.977743485,0.350529123,422.537814,3.666379034,7.963877381,3.44412862,430.5670089,75.70627918,38.89155092,9.824770094,1556891898,0.784883637,0.74639978,523.9194511,0.51070472,0.124222862,2091078919,2135302183,27.5938022,0.061737278,569.6562588,0.044799026,41.22422646,1.649353243,187.3854291,0.565824408,3.397816097
34,162.422  (34),162.422,55.47364426,0.981747135,0.349400666,423.2090831,3.616248147,7.994442398,3.486514476,434.2060094,75.80951758,39.41443824,9.817675296,1561500238,0.787348283,0.747524324,521.6584355,0.508629887,0.123728534,2090943896,2142895021,27.61499733,0.064507429,575.7648999,0.04616363,41.32036182,1.634038196,185.0406674,0.568733515,3.37923463
35,165.516  (35),165.516,55.50748669,0.9812626,0.350256269,423.1139935,3.640633306,7.99604223,3.461946714,431.2758418,75.42296453,39.22164258,9.801002152,1552038688,0.78635732,0.751949593,526.3534447,0.510561618,0.124000569,2093096620,2138952693,27.74582239,0.057584342,571.8371081,0.041021977,41.45577404,1.686147029,187.6490508,0.569490128,3.389456919
