,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold
1,519.862,45.34470415,0.720324493,0.000114375,290.6997718,1.440267672,4.369354379,3.745040846,554.3614384,70.08967753,83.72640646,6.515167086,1809490228,0.5817809,0.878117436,526.0224477,0.768187004,0.417304802,1673630458,1224481151,33.50887148,0.800744569,984.1307879,0.313424178,38.1543237,4.505556609,328.9213327,0.534017685,1.11716435
2,169.76,37.43457343,0.878142503,0.098346834,326.3322875,3.87366859,6.13266114,5.767508456,539.5492061,97.90408906,112.1240645,4.109729664,1879202700,0.895544436,0.748165654,655.5873239,0.815711731,0.103226007,1554663835,2049338816,38.09347912,0.287775339,565.0142861,0.019366958,37.72273705,1.846512464,203.1093319,0.696629264,1.160087635
3,381.787,50.37176338,0.146728575,0.589305537,409.927508,1.307003286,5.656223951,5.777600631,588.1903799,36.79553206,83.44605497,7.982767871,1626599410,0.877837902,0.586555041,974.5417806,0.554989882,0.139276347,1940671618,1500744075,31.93700146,0.92750858,673.8829299,0.750812103,39.23193553,4.533224365,274.7344414,0.800376974,2.046695026
4,204.711,40.63769254,0.895886218,0.42809119,489.4520141,2.990324493,6.486782881,3.458983892,852.0982045,75.19156481,87.52540298,6.448820817,1328247288,0.861351808,0.573679487,513.4696074,0.746857965,0.326644902,1639666151,2025014909,41.14894848,0.908535151,811.6800579,0.015821243,45.74199148,3.76358767,349.4645701,0.568936203,1.411407249
5,187.209,61.84305482,0.696818161,0.066000173,426.6389158,3.261628565,7.692098142,5.846099035,445.2655843,33.90849285,34.51625474,4.169838928,1338108625,0.844011179,0.538831064,795.0448531,0.836812357,0.124173315,1373513016,1702696052,70.54059592,0.561030219,509.3236447,0.800632673,23.45517676,4.228420782,227.5721288,0.845416742,3.241364928
6,525.524,49.79968749,0.136455226,0.05991769,236.4030367,1.133655636,4.429976516,3.902837354,735.5035673,85.73283028,33.2053741,4.431845678,2112346370,0.727240185,0.203293235,641.1907812,0.797530342,0.195429481,1697971218,2115292855,64.64778247,0.239847759,746.8848571,0.619955718,42.52738879,1.627165579,153.7152404,0.528008857,2.459035333
7,195.236,51.40254277,0.568851437,0.317362409,496.5848463,2.739235658,5.52056469,5.203792876,751.4498744,96.24635777,57.43227754,4.398009007,1471116354,0.751887003,0.21017401,897.4108435,0.526614593,0.260315099,1937840456,1281440302,54.69412228,0.524670309,962.4039852,0.26329677,18.1107549,3.940263853,304.4356059,0.863126341,3.795916208
8,187.437,32.44645034,0.234362086,0.616778357,484.7048962,3.850528358,6.226612753,6.662425399,700.292141,69.44074056,78.65510404,7.625862898,1663814014,0.870472571,0.918733436,714.1763138,0.885305011,0.173955667,1209387112,1218781965,48.27178395,0.021524805,973.9851056,0.827115471,16.48060738,1.704785022,216.4127149,0.552398738,3.428472076
9,166.357,43.03157289,0.940107482,0.58201418,463.6495953,3.534203336,7.621569275,4.839521063,653.3489803,108.6659448,59.42900977,6.941521136,1717031208,0.50621331,0.593481408,734.0422907,0.822944212,0.315244803,2032473774,1694211283,32.83248968,0.787929234,806.0155885,0.053909272,29.44619776,3.716275346,333.7203556,0.50016081,3.930277447
10,245.624,44.05057007,0.973783538,0.604716101,448.6537424,2.724134514,6.512304793,4.142305127,673.3088369,104.0020893,114.3981283,8.530493131,1823274652,0.845791772,0.322680997,855.4438609,0.680349575,0.382102752,1514847151,1504827243,39.23442941,0.621919368,715.1236354,0.973802078,37.68962853,1.794279554,235.3402019,0.637338496,3.392916412
11,223.75,60.15994523,0.903841956,0.662719812,281.0624786,1.757100105,7.419591771,5.110858585,779.4654144,86.95889765,102.3816824,7.114069765,1901471666,0.727543196,0.465709879,687.4567209,0.527283739,0.377924179,1159239673,2129033663,32.71741686,0.811858698,937.4808225,0.688413252,34.22382121,1.643885747,243.3760046,0.63806882,1.675119873
12,307.751,50.9603798,0.312269838,0.916305553,472.8906575,1.771354881,4.443565203,3.771850928,630.2949961,101.9442241,51.98666609,5.48820135,1988217061,0.666339487,0.616685067,631.6370633,0.540786904,0.515857017,1586068057,1237671753,53.84669912,0.544010119,827.0686735,0.14454554,40.04889015,1.888196559,253.8703649,0.814118411,1.066991284
13,159.944,42.37959871,0.872922376,0.844709608,361.5321778,3.599824822,7.799223965,6.305627991,805.0789138,41.47936657,94.5252159,8.221101929,1728982494,0.819846105,0.03457122,906.3622321,0.79269144,0.259698393,1349767881,1752672340,40.57427816,0.796588678,723.073116,0.782749415,47.69509708,2.200993358,178.6011657,0.860523375,2.624678137
14,250.481,63.19169187,0.6366044,0.993913025,363.8212412,2.579277802,4.541711612,4.422820684,396.9257537,47.39793723,103.5811705,4.18239814,1467314127,0.844938501,0.692677718,865.7623767,0.57545472,0.441904281,1698205809,2136479627,33.78749881,0.247732902,631.0865419,0.750172413,30.62321048,1.227717754,251.7032481,0.584784066,3.395812734
15,250.617,41.51460421,0.027606012,0.593432449,453.1521287,2.143048372,6.999433243,5.044565913,650.6892398,124.1056948,109.1802456,4.1939384,1835440146,0.686000593,0.947548941,625.37356,0.606828808,0.081473965,1533967786,1190799830,54.42176451,0.802963237,848.4002481,0.766211381,26.95853183,4.383405932,235.753755,0.829603948,2.879488476
16,334.71,36.58953756,0.0783869,0.018332643,220.0174993,2.375751441,4.453367691,3.111133395,756.1467103,69.90564612,103.7060956,6.71442896,1557018416,0.691229003,0.474003927,923.2196312,0.660957008,0.90468616,1113535820,1904683071,30.03078629,0.618513567,505.1821307,0.538627283,16.09657461,4.804775142,331.0804067,0.818386777,3.74582296
17,155.455,36.6578634,0.15773007,0.187631673,386.7487707,3.717428488,7.959820713,5.844489835,744.7776017,119.2921476,70.48387831,5.499104081,1259960751,0.54778282,0.812610588,587.1576952,0.605718993,0.819089179,1407232345,2128604527,36.7986577,0.533653345,657.2335056,0.910772831,27.7298126,2.734369309,252.4585385,0.875554591,1.092847019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25%,191.5845,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Æ½¾ùÖµ,292.6658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75%,485.34325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
