,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
1,172.458,51.0,0.0,1.0,221.0,4.0,5.0,5.0,533.0,108.0,95.0,8.0,2066297949.0,0.61,0.0,63.0,0.53,0.0,2049634449.0,1261406683.0,67.0,1.0,672.0,1.0,35.0,4.0,335.0,4.0
2,224.205,47.0,0.0,0.0,405.0,2.0,8.0,6.0,399.0,80.0,97.0,8.0,1567387014.0,0.54,1.0,290.0,0.54,1.0,1104132623.0,1519094072.0,56.0,0.0,995.0,0.0,45.0,3.0,153.0,3.0
3,366.089,62.0,1.0,0.0,418.0,1.0,6.0,3.0,820.0,38.0,116.0,4.0,1938268315.0,0.68,1.0,83.0,0.65,1.0,1735223372.0,1075117171.0,30.0,1.0,708.0,0.0,16.0,1.0,348.0,3.0
4,223.146,51.0,0.0,1.0,223.0,4.0,5.0,5.0,530.0,110.0,93.0,8.0,2077775104.0,0.6000000238418579,0.0,66.0,0.5199999809265137,0.0,2068097280.0,1299375616.0,68.0,1.0,671.0,1.0,37.0,4.0,337.0,4.0
5,175.051,51.0,0.0,1.0,218.0,4.0,5.0,5.0,532.0,113.0,88.0,8.0,2082377216.0,0.6000000238418579,0.0,47.0,0.5199999809265137,0.0,2097264128.0,1275115264.0,69.0,1.0,672.0,1.0,36.0,4.0,346.0,4.0
6,100000.0,51.0,0.0,1.0,200.0,4.0,5.0,5.0,505.0,124.0,96.0,9.0,2147483136.0,0.5799999833106995,0.0,47.0,0.5,0.0,2147483648.0,1103282560.0,72.0,1.0,634.0,1.0,36.0,5.0,350.0,4.0
7,223.982,50.0,0.0,1.0,219.0,4.0,5.0,5.0,535.0,113.0,96.0,8.0,2082964480.0,0.6100000143051147,0.0,58.0,0.5199999809265137,0.0,2071998592.0,1271692288.0,69.0,1.0,670.0,1.0,35.0,4.0,332.0,4.0
8,224.47,51.0,0.0,1.0,231.0,4.0,5.0,5.0,520.0,104.0,95.0,8.0,1993291520.0,0.6299999952316284,0.0,79.0,0.5199999809265137,0.0,2041296256.0,1278027264.0,63.0,1.0,681.0,1.0,35.0,4.0,322.0,4.0
9,211.682,50.0,0.0,1.0,276.0,3.0,6.0,5.0,553.0,94.0,85.0,8.0,1917294336.0,0.6499999761581421,0.0,79.0,0.6499999761581421,0.0,1817828352.0,1389643392.0,54.0,1.0,675.0,1.0,35.0,4.0,284.0,3.0
10,378.424,36.0,0.0,0.0,495.0,1.0,6.0,5.0,635.0,87.0,47.0,4.0,1979189443.0,0.75,1.0,974.0,0.53,1.0,1281336765.0,1759321716.0,63.0,1.0,906.0,1.0,30.0,2.0,311.0,1.0
11,204.288,43.0,0.0,1.0,444.0,3.0,6.0,7.0,730.0,37.0,95.0,6.0,1406045214.0,0.74,0.0,968.0,0.62,0.0,1535873421.0,1665737558.0,37.0,1.0,613.0,0.0,18.0,1.0,291.0,3.0
12,229.653,39.0,1.0,1.0,493.0,4.0,4.0,4.0,856.0,96.0,57.0,6.0,1486204388.0,0.81,0.0,640.0,0.62,0.0,1372307375.0,1843720180.0,30.0,0.0,669.0,1.0,18.0,3.0,341.0,2.0
13,195.389,41.61023237552793,0.3334779529633184,0.5935894412688699,341.24802052013837,2.771041151377635,6.058637382139876,5.64034187456625,659.9201590132398,65.87205323229813,67.18449606946342,7.551483869343676,2119847783.1022735,0.6162548854396342,0.24444972308921586,78.8330880881482,0.6637137687688482,0.04379435710099622,1600672124.0132568,2011344951.4356527,61.37944400358094,0.6163844307306727,568.5238345593191,0.3503685712255744,31.34493259895357,2.4510169445244934,232.5135242271842,2.750661818868573
14,219.319,55.522883659491576,0.024412264984330544,0.9180283732813987,242.71125946209796,3.4748737947655797,6.278333966662391,5.185460921617805,523.5058394973503,104.43184499894545,73.85345468348744,9.03889178547266,1886452513.7924807,0.654124783944005,0.19667352710920277,224.02820499384762,0.5449524763825302,0.06311955023380703,1982305253.2458086,1378699231.581141,66.86202366431485,0.8641386577652147,755.5884437473841,0.8005905389112187,40.35813973091906,4.207273477296989,271.7694785073951,3.6150623777102395
15,198.909,55.83576633077796,0.2231355262272191,0.9085841181518495,249.94829639465797,3.482102482609869,5.579323074976381,5.7819312133198535,527.9661523769253,98.38904816530227,71.2997164109964,8.27711103522067,1851315598.7408981,0.7290677359150632,0.19215581984517832,106.59847680730138,0.5120074682328422,0.043948028690169685,2058861742.0228791,1278894482.392554,60.57101220207886,0.9100074333784284,675.023304765119,0.864312128319468,41.59430674452539,4.627350235304796,311.235915358708,3.678136741603755
16,181.096,49.6840546055561,0.01296741707414902,0.8808458630879447,249.6975597949391,3.672726720924037,5.848171362528645,4.7099744608942995,501.49234059590503,114.49085334709895,100.06997602232283,7.360500873750892,1904579212.0294871,0.6427080709867633,0.11335359096839814,261.81332307219793,0.5493915136024746,0.07463357090275662,1876103692.8371854,1519191395.0139523,69.0241607257949,0.9563686406674594,723.153391619218,0.8899285947621551,35.381209922779995,3.9854106848723223,297.3741880716091,3.581441224709252
17,179.602,48.438320439439124,0.061624939188783985,0.9542093092866556,222.13153905696657,3.7140292799375088,5.5431065682923535,5.512495874457688,459.16020849857136,108.87250892752698,95.7181229438711,7.553006038241897,2021924582.41454,0.5865332982579679,0.10182204609323896,163.3456126726975,0.5500297817661387,0.10339102306603988,2120024804.1633987,1557215060.9456325,68.41835497994704,0.9352689215452371,620.7843559038881,0.9568782694856875,36.224465394107135,3.93048948754127,303.64777035692674,3.509305409616576
18,223.174,56.588753142964,0.12414407697144811,0.9632043521115091,247.55715957420182,3.8509383018847014,4.537707369663413,5.066085656131569,413.87602929851937,111.39223512588904,109.39617234951686,6.891003280038859,2015921163.0359344,0.5957114204363266,0.10870550260166648,138.3293191382578,0.5144640924096425,0.1399484135254525,2113333601.3793473,1405661754.5523634,63.08258967087843,0.9814765818342771,671.6309480813409,0.9165816342739521,32.819743360052335,3.560740008334521,322.9401221649149,3.7225594468980407
19,217.516,48.85803370789378,0.1253495502461229,0.8974356944617721,238.38686327154912,3.7456089775777386,5.44124181609571,4.480319876412344,581.3044185484022,119.67538045781146,101.17055887276254,8.426000482639031,2092891031.405312,0.5564496919454757,0.12093254906049707,151.18090617379295,0.5279069913107358,0.07169433337914521,1964759299.909178,1368889513.4555829,64.61710973904316,0.9538203332414724,690.35036157389,0.9139550206405839,40.701069644359485,3.388697070779583,329.6768426070112,3.612591968606447
20,177.162,52.80254633051234,0.12175327575040974,0.9123917511771302,227.13107494745194,3.7028283017534713,5.07049387118597,4.667036697910371,508.08175029373126,121.76643450284644,104.82750021880474,7.394606324479789,1945577254.1105433,0.608929623301693,0.05715217618682253,48.171547072874475,0.5284602500521489,0.07757026514570974,2014583761.7500443,1285122417.6845818,71.73500591707571,0.8882480152804628,710.2535371832022,0.8636643199210794,37.238291378945036,3.7500988152880645,311.7068471080667,3.551887705186714
21,214.714,51.74185032155509,0.10990458391380963,0.9329270131787306,226.88039614081106,3.800685192591614,4.909693574119018,5.265161649852478,488.5873586867303,110.1946652928579,111.49601012093314,8.427680471082198,1956369336.9564338,0.6006061058969835,0.1479658817896387,13.17334340435499,0.5908439282109669,0.08117828215112981,2001640971.1753006,1345492151.2451131,68.02614736603405,0.9135066211767106,684.4228512146321,0.9102989731089097,36.57580087684891,3.6257901286799075,322.3422625339565,3.787704658139463
22,175.236,49.31589087750569,0.07204564852268,0.89170648151395,224.12658278443163,3.816078175681426,5.101302104043539,5.147743375630296,531.1919229352285,114.70357239818327,95.33110087789672,7.9122979774534326,2069245782.3862324,0.5893041462140823,0.03961478737913707,134.35510804821357,0.5353644285720981,0.04762673541151988,2141681872.4533393,1268753076.1895938,71.72752748377363,0.9330194305474554,663.7331717424645,0.94501995287943,39.595912284363806,3.956006764756828,330.2799739827465,3.7929202047500326
