,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime
0,51,0,1,221,4,5,5,533,108,95,8,2066297949,0.61,0,63,0.53,0,2049634449,1261406683,67,1,672,1,35,4,335,4,172.458
1,47,0,0,405,2,8,6,399,80,97,8,1567387014,0.54,1,290,0.54,1,1104132623,1519094072,56,0,995,0,45,3,153,3,224.205
2,62,1,0,418,1,6,3,820,38,116,4,1938268315,0.68,1,83,0.65,1,1735223372,1075117171,30,1,708,0,16,1,348,3,366.089
3,51.0,0.0,1.0,223.0,4.0,5.0,5.0,530.0,110.0,93.0,8.0,2077775104.0,0.6000000238418579,0.0,66.0,0.5199999809265137,0.0,2068097280.0,1299375616.0,68.0,1.0,671.0,1.0,37.0,4.0,337.0,4.0,223.146
4,51.0,0.0,1.0,218.0,4.0,5.0,5.0,532.0,113.0,88.0,8.0,2082377216.0,0.6000000238418579,0.0,47.0,0.5199999809265137,0.0,2097264128.0,1275115264.0,69.0,1.0,672.0,1.0,36.0,4.0,346.0,4.0,175.051
5,51.0,0.0,1.0,200.0,4.0,5.0,5.0,505.0,124.0,96.0,9.0,2147483136.0,0.5799999833106995,0.0,47.0,0.5,0.0,2147483648.0,1103282560.0,72.0,1.0,634.0,1.0,36.0,5.0,350.0,4.0,100000.0
6,50.0,0.0,1.0,219.0,4.0,5.0,5.0,535.0,113.0,96.0,8.0,2082964480.0,0.6100000143051147,0.0,58.0,0.5199999809265137,0.0,2071998592.0,1271692288.0,69.0,1.0,670.0,1.0,35.0,4.0,332.0,4.0,223.982
7,51.0,0.0,1.0,231.0,4.0,5.0,5.0,520.0,104.0,95.0,8.0,1993291520.0,0.6299999952316284,0.0,79.0,0.5199999809265137,0.0,2041296256.0,1278027264.0,63.0,1.0,681.0,1.0,35.0,4.0,322.0,4.0,224.47
8,50.0,0.0,1.0,276.0,3.0,6.0,5.0,553.0,94.0,85.0,8.0,1917294336.0,0.6499999761581421,0.0,79.0,0.6499999761581421,0.0,1817828352.0,1389643392.0,54.0,1.0,675.0,1.0,35.0,4.0,284.0,3.0,211.682
9,36.0,0.0,0.0,495.0,1.0,6.0,5.0,635.0,87.0,47.0,4.0,1979189443.0,0.75,1.0,974.0,0.53,1.0,1281336765.0,1759321716.0,63.0,1.0,906.0,1.0,30.0,2.0,311.0,1.0,378.424
10,43.0,0.0,1.0,444.0,3.0,6.0,7.0,730.0,37.0,95.0,6.0,1406045214.0,0.74,0.0,968.0,0.62,0.0,1535873421.0,1665737558.0,37.0,1.0,613.0,0.0,18.0,1.0,291.0,3.0,204.288
11,39.0,1.0,1.0,493.0,4.0,4.0,4.0,856.0,96.0,57.0,6.0,1486204388.0,0.81,0.0,640.0,0.62,0.0,1372307375.0,1843720180.0,30.0,0.0,669.0,1.0,18.0,3.0,341.0,2.0,229.653
