spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
51.0,0.0,1.0,223.0,4.0,5.0,5.0,530.0,110.0,93.0,8.0,2077775100.0,0.6,0.0,66.0,0.52,0.0,2068097300.0,1299375600.0,68.0,1.0,671.0,1.0,37.0,4.0,337.0,4.0,6.25,0.01,0.999,0.214,483.322
51.0,0.0,1.0,212.0,4.0,5.0,5.0,515.0,109.0,92.0,8.0,2077747700.0,0.61,0.0,63.0,0.52,0.0,2054685000.0,1254511500.0,67.0,1.0,692.0,1.0,36.0,4.0,343.0,4.0,4.33,0.009,0.998,0.296,395.182
50.0,0.0,1.0,217.0,4.0,5.0,5.0,529.0,111.0,91.0,8.0,2076705800.0,0.61,0.0,59.0,0.53,0.0,2086306200.0,1303078400.0,67.0,1.0,683.0,1.0,35.0,4.0,342.0,4.0,4.339,0.01,0.998,0.261,379.906
51.0,0.0,1.0,222.0,4.0,5.0,5.0,527.0,111.0,92.0,8.0,2050801300.0,0.6,0.0,63.0,0.52,0.0,2089094700.0,1248481900.0,69.0,1.0,674.0,1.0,36.0,4.0,348.0,4.0,2.397,0.009,0.998,0.294,370.155
50.0,0.0,1.0,220.0,4.0,5.0,5.0,543.0,111.0,90.0,8.0,2066842500.0,0.61,0.0,59.0,0.53,0.0,2047151000.0,1302825600.0,69.0,1.0,662.0,1.0,35.0,4.0,340.0,4.0,4.096,0.01,0.997,0.294,326.377
50.0,0.0,1.0,217.0,4.0,5.0,5.0,535.0,112.0,93.0,8.0,2074680600.0,0.61,0.0,60.0,0.54,0.0,2068034800.0,1276938800.0,66.0,1.0,650.0,1.0,35.0,4.0,342.0,4.0,4.604,0.01,0.997,0.344,300.96
50.0,0.0,1.0,216.0,4.0,5.0,5.0,534.0,109.0,91.0,8.0,2048382300.0,0.61,0.0,75.0,0.52,0.0,2051087400.0,1268105900.0,69.0,1.0,678.0,1.0,35.0,4.0,346.0,4.0,4.162,0.014,0.998,0.231,298.263
50.0,0.0,1.0,222.0,4.0,5.0,5.0,520.0,108.0,93.0,8.0,2025511800.0,0.61,0.0,73.0,0.53,0.0,2022643700.0,1266882700.0,66.0,1.0,651.0,1.0,35.0,4.0,337.0,4.0,4.221,0.012,0.997,0.289,293.72
51.0,0.0,1.0,221.0,4.0,5.0,5.0,514.0,111.0,95.0,8.0,2037037200.0,0.61,0.0,79.0,0.53,0.0,2071040300.0,1277298200.0,68.0,1.0,668.0,1.0,35.0,4.0,340.0,4.0,4.776,0.014,0.998,0.242,287.99
50.0,0.0,1.0,213.0,4.0,5.0,5.0,531.0,109.0,94.0,8.0,2036993400.0,0.61,0.0,79.0,0.53,0.0,2062615000.0,1277070300.0,65.0,1.0,673.0,1.0,35.0,4.0,340.0,4.0,0.528,0.015,0.998,0.236,279.177
