spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
41.0,0.0,1.0,417.0,3.0,5.0,3.0,589.0,66.0,124.0,6.0,1731941400.0,0.72,0.0,262.0,0.56,1.0,1122700800.0,2071521700.0,44.0,0.0,786.0,1.0,41.0,1.0,300.0,4.0,2.001,0.008,0.999,0.184,666.784
43.0,0.0,1.0,417.0,3.0,5.0,3.0,607.0,67.0,128.0,6.0,1704561200.0,0.72,0.0,276.0,0.55,1.0,1123462900.0,2059477900.0,43.0,0.0,782.0,1.0,41.0,1.0,297.0,4.0,4.105,0.009,0.999,0.2,561.456
43.0,0.0,1.0,428.0,3.0,5.0,3.0,593.0,67.0,121.0,6.0,1760366600.0,0.73,0.0,273.0,0.57,1.0,1101549300.0,2042405100.0,44.0,0.0,788.0,1.0,41.0,1.0,299.0,4.0,6.058,0.008,0.998,0.236,512.351
43.0,0.0,1.0,416.0,3.0,5.0,3.0,601.0,63.0,121.0,6.0,1763044900.0,0.73,0.0,255.0,0.57,1.0,1141901600.0,2055048100.0,44.0,0.0,806.0,1.0,42.0,1.0,302.0,4.0,2.082,0.009,0.998,0.238,488.758
43.0,0.0,1.0,408.0,3.0,5.0,3.0,608.0,66.0,128.0,6.0,1714200700.0,0.72,0.0,270.0,0.57,1.0,1098290200.0,2042570200.0,44.0,0.0,784.0,1.0,41.0,1.0,302.0,4.0,2.038,0.007,0.997,0.288,481.871
44.0,0.0,1.0,417.0,3.0,5.0,3.0,608.0,64.0,123.0,6.0,1765964500.0,0.73,0.0,250.0,0.55,1.0,1073741800.0,2059803000.0,42.0,0.0,785.0,1.0,42.0,1.0,303.0,4.0,8.389,0.01,0.999,0.215,478.472
45.0,0.0,1.0,418.0,3.0,5.0,3.0,602.0,64.0,124.0,6.0,1752819800.0,0.73,0.0,255.0,0.54,1.0,1128959200.0,2006595700.0,44.0,0.0,784.0,1.0,42.0,1.0,295.0,4.0,4.128,0.009,0.998,0.246,470.497
42.0,0.0,1.0,417.0,3.0,5.0,3.0,616.0,66.0,125.0,6.0,1730641700.0,0.73,0.0,258.0,0.56,1.0,1154104200.0,2057852900.0,45.0,0.0,794.0,1.0,42.0,1.0,301.0,4.0,10.313,0.009,0.998,0.237,463.571
43.0,0.0,1.0,425.0,3.0,5.0,3.0,586.0,66.0,123.0,6.0,1757780200.0,0.73,0.0,256.0,0.57,1.0,1085328100.0,2028799500.0,44.0,0.0,790.0,1.0,41.0,1.0,299.0,4.0,8.166,0.009,0.998,0.235,451.675
43.0,0.0,1.0,417.0,3.0,5.0,3.0,592.0,65.0,128.0,6.0,1723525400.0,0.72,0.0,256.0,0.55,1.0,1073741800.0,2059454100.0,44.0,0.0,771.0,1.0,42.0,1.0,305.0,4.0,8.574,0.008,0.998,0.298,425.644
42.0,0.0,1.0,410.0,3.0,5.0,3.0,607.0,63.0,121.0,6.0,1728374800.0,0.73,0.0,255.0,0.55,1.0,1109234200.0,2088703400.0,43.0,0.0,780.0,1.0,42.0,1.0,295.0,4.0,4.262,0.009,0.997,0.267,421.293
42.0,0.0,1.0,416.0,3.0,5.0,3.0,584.0,64.0,125.0,6.0,1725102600.0,0.71,0.0,268.0,0.57,1.0,1126894100.0,2025576600.0,44.0,0.0,792.0,1.0,42.0,1.0,296.0,4.0,0.0,0.008,0.998,0.305,411.529
43.0,0.0,1.0,418.0,3.0,5.0,3.0,612.0,65.0,125.0,6.0,1724011300.0,0.72,0.0,240.0,0.56,1.0,1107477100.0,2057581800.0,43.0,0.0,793.0,1.0,42.0,1.0,301.0,4.0,8.342,0.01,0.998,0.247,410.679
45.0,0.0,1.0,408.0,3.0,5.0,3.0,616.0,66.0,124.0,6.0,1753364500.0,0.72,0.0,268.0,0.57,1.0,1097718300.0,2041453000.0,44.0,0.0,775.0,1.0,41.0,1.0,302.0,4.0,2.029,0.009,0.998,0.277,404.687
43.0,0.0,1.0,413.0,3.0,5.0,3.0,611.0,66.0,121.0,6.0,1716943100.0,0.73,0.0,285.0,0.57,1.0,1163211000.0,2044591100.0,44.0,0.0,784.0,1.0,41.0,1.0,295.0,4.0,2.025,0.009,0.999,0.292,360.328
43.0,0.0,1.0,417.0,3.0,5.0,3.0,606.0,64.0,126.0,6.0,1757544200.0,0.73,0.0,255.0,0.57,1.0,1087115000.0,2079480300.0,44.0,0.0,782.0,1.0,42.0,1.0,314.0,4.0,8.414,0.01,0.998,0.292,356.092
