,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
1,213.83,43.0,0.0,1.0,411.0,3.0,5.0,3.0,599.0,65.0,123.0,6.0,1733861883.0,0.73,0.0,270.0,0.55,1.0,1119840090.0,2038148394.0,44.0,0.0,786.0,1.0,42.0,1.0,304.0,4.0
2,252.537,59.0,0.0,1.0,207.0,2.0,7.0,7.0,775.0,121.0,37.0,9.0,1178550042.0,0.57,0.0,674.0,0.78,0.0,1353701934.0,1235092101.0,51.0,0.0,517.0,1.0,17.0,1.0,155.0,3.0
3,383.32,46.0,1.0,0.0,244.0,1.0,7.0,3.0,804.0,116.0,62.0,6.0,1843069434.0,0.6,0.0,1018.0,0.85,0.0,1475975448.0,1238780366.0,68.0,0.0,635.0,1.0,31.0,1.0,151.0,3.0
4,256.526,41.0,0.0,1.0,417.0,3.0,5.0,3.0,589.0,66.0,124.0,6.0,1731941376.0,0.7200000286102295,0.0,262.0,0.5600000023841858,1.0,1122700800.0,2071521664.0,44.0,0.0,786.0,1.0,41.0,1.0,300.0,4.0
5,255.797,43.0,0.0,1.0,419.0,3.0,5.0,3.0,604.0,64.0,121.0,6.0,1724312064.0,0.7300000190734863,0.0,205.0,0.5699999928474426,1.0,1164940032.0,2032994432.0,43.0,0.0,804.0,1.0,43.0,1.0,301.0,4.0
6,270.157,46.0,0.0,1.0,389.0,3.0,5.0,4.0,619.0,69.0,100.0,6.0,1663671808.0,0.7200000286102295,0.0,338.0,0.6299999952316284,1.0,1351364864.0,1872136832.0,45.0,0.0,778.0,1.0,38.0,1.0,272.0,3.0
7,213.807,42.0,0.0,1.0,402.0,3.0,5.0,3.0,601.0,66.0,120.0,6.0,1762526208.0,0.7300000190734863,0.0,280.0,0.550000011920929,1.0,1118996992.0,2000530432.0,43.0,0.0,790.0,1.0,43.0,1.0,297.0,4.0
8,262.504,42.0,0.0,1.0,426.0,3.0,5.0,3.0,622.0,66.0,122.0,6.0,1742482176.0,0.7200000286102295,0.0,309.0,0.5299999713897705,1.0,1073741824.0,1999815168.0,45.0,0.0,790.0,1.0,42.0,1.0,301.0,4.0
9,254.137,45.0,0.0,1.0,404.0,3.0,5.0,4.0,610.0,72.0,113.0,6.0,1721526528.0,0.699999988079071,0.0,338.0,0.6000000238418579,1.0,1277100672.0,1937947904.0,44.0,0.0,778.0,1.0,36.0,1.0,286.0,3.0
10,175.654,64.0,0.0,0.0,429.0,3.0,7.0,5.0,802.0,54.0,68.0,7.0,1663695849.0,0.67,1.0,612.0,0.53,0.0,1140189452.0,1842404348.0,32.0,0.0,833.0,0.0,42.0,2.0,188.0,2.0
11,530.027,55.0,0.0,0.0,299.0,1.0,4.0,6.0,823.0,34.0,40.0,7.0,1795332364.0,0.86,0.0,525.0,0.78,1.0,1487440048.0,1854924278.0,59.0,1.0,740.0,1.0,41.0,5.0,342.0,1.0
12,181.05,57.0,0.0,1.0,376.0,3.0,7.0,3.0,441.0,95.0,85.0,10.0,1105398013.0,0.73,1.0,871.0,0.7,1.0,1493570686.0,1243495023.0,41.0,1.0,729.0,0.0,34.0,5.0,333.0,1.0
13,219.249,51.114706479923825,0.5467384930934266,0.8609372481115752,398.57669578499025,2.5806885206132635,6.394481003223833,3.0447553275500177,415.8411083348285,110.12404955852145,94.01720417812726,4.029843827557431,1476719249.9738364,0.8313548474181593,0.18930649304577507,139.89503143315335,0.5978995437694086,0.6574566360392429,1256680745.817306,2119464429.8745627,31.607654883029376,0.44314401136475534,694.0686501579105,0.5863568245810753,43.636563203640016,1.645195115076902,287.19886061492707,3.217346656922891
