,,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
16,152.602   (16),152.602,41.66399344,0.467852139,0.990541461,222.0387299,3.504307695,7.8055084,6.666678087,637.8559561,64.39656807,113.6619472,7.231968881,1153271936,0.844019323,0.437021177,288.6917403,0.866498567,0.362714882,1474601929,1414070329,68.30920493,0.288048275,947.1265237,0.02495717,37.10010866,1.77891969,302.9212401,3.259711632
8,161.74   (8),161.74,44.43270063,0.224287881,0.982631825,291.3337837,3.892901866,7.570549293,6.82123047,408.5019824,89.00817506,116.6095834,8.198640968,1585501011,0.822349538,0.848801542,887.9975063,0.627456606,0.805459039,1297285002,1223286629,49.46962248,0.863953025,730.5390088,0.606692929,16.74499289,3.193530866,241.1770189,3.76723816
9,186.272   (9),186.272,38.0119942,0.591545025,0.865962539,263.9813538,2.581985138,7.872382704,6.79226644,485.9096315,88.52338404,45.97400133,5.995745421,1918215864,0.807441949,0.217833911,842.117177,0.889305741,0.569373485,1345582598,1085303126,67.78581249,0.441186998,590.0623603,0.382876099,26.24664578,4.777334632,224.7895806,3.912511671
11,207.956   (11),207.956,36.41920466,0.235022499,0.974880546,263.2394807,1.936220111,7.954910103,4.170767163,409.1600636,99.0069101,62.85653356,8.460948066,1321880836,0.806090124,0.411767022,211.2474162,0.869158076,0.755634807,1855573572,1180161456,50.61223612,0.052776604,892.6373151,0.110151744,39.1240846,4.910229298,156.0166249,3.92118149
5,219.274   (5),219.274,43,0,1,404,3,5,6,528,97,85,5,1857844992,0.75999999,0,450,0.639999986,1,1811834880,1532333056,54,1,767,1,38,3,249,3
12,245.168   (12),245.168,52.73127052,0.227751713,0.911116368,250.0741286,1.595737424,7.28235933,5.976673258,837.4356081,123.8063436,121.081668,8.492540703,1601667220,0.627500825,0.132031064,369.588133,0.871924938,0.73898934,1655418009,1668512458,67.82595183,0.84944965,902.3106576,0.104857499,21.74873613,4.155808926,199.4708399,2.897997806
4,248.123   (4),248.123,38,0,1,479,3,4,6,508,107,97,4,2039188096,0.819999993,0,406,0.600000024,1,2024228992,1574308352,60,1,769,1,39,3,235,3
14,250.462   (14),250.462,39.22814561,0.585296493,0.938118716,214.9831019,1.513769448,6.351324736,6.264769866,777.8613262,72.971851,65.34242225,9.444317365,1765062521,0.756865242,0.094495527,578.4051218,0.657813579,0.898540936,1831861603,1459722422,71.28599084,0.878697735,804.4233781,0.315656011,26.15957676,4.629544801,262.7655966,3.929579861
7,252.364   (7),252.364,38.88676704,0.181374842,0.841080024,212.1490129,1.579969184,5.946012665,6.605235326,430.2393214,65.21505432,127.0318899,8.134589312,2067522468,0.852857872,0.881617784,158.6441899,0.876424708,0.489011699,1508346848,1522685543,66.460353,0.83397474,560.2748925,0.835638222,34.63836727,3.687861698,236.6936901,3.617699046
3,258.363   (3),258.363,37,0,1,480,3,4,6,466,111,97,4,2088592128,0.819999993,0,364,0.600000024,1,2029464448,1577127040,62,1,780,1,39,3,247,3
