spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
37.0,0.0,1.0,480.0,3.0,4.0,6.0,466.0,111.0,97.0,4.0,2088592100.0,0.82,0.0,364.0,0.6,1.0,2029464400.0,1577127000.0,62.0,1.0,780.0,1.0,39.0,3.0,247.0,3.0,6.134,0.006,0.998,0.237,743.743
37.0,0.0,1.0,493.0,3.0,4.0,6.0,492.0,108.0,100.0,4.0,2094926800.0,0.82,0.0,376.0,0.61,1.0,2051566700.0,1585589900.0,61.0,1.0,773.0,1.0,38.0,3.0,245.0,3.0,6.31,0.006,0.998,0.256,615.276
36.0,0.0,1.0,487.0,3.0,4.0,6.0,493.0,111.0,98.0,4.0,2123980500.0,0.82,0.0,384.0,0.61,1.0,2064769700.0,1571542800.0,59.0,1.0,775.0,1.0,39.0,3.0,239.0,3.0,4.253,0.007,0.998,0.253,566.857
37.0,0.0,1.0,479.0,3.0,4.0,6.0,504.0,113.0,98.0,4.0,2144341500.0,0.83,0.0,389.0,0.61,1.0,2039701400.0,1575564300.0,62.0,1.0,779.0,1.0,39.0,3.0,245.0,3.0,0.126,0.006,0.997,0.299,566.741
37.0,0.0,1.0,495.0,3.0,4.0,6.0,491.0,111.0,97.0,4.0,2147483100.0,0.82,0.0,382.0,0.62,1.0,2095574900.0,1557495000.0,61.0,1.0,783.0,1.0,38.0,3.0,243.0,3.0,8.545,0.007,0.998,0.291,509.603
35.0,0.0,1.0,495.0,3.0,4.0,6.0,496.0,110.0,99.0,4.0,2135424800.0,0.82,0.0,383.0,0.61,1.0,2038571300.0,1596148200.0,61.0,1.0,777.0,1.0,39.0,3.0,247.0,3.0,6.426,0.008,0.998,0.273,482.455
37.0,0.0,1.0,495.0,3.0,4.0,6.0,478.0,115.0,98.0,4.0,2085613800.0,0.82,0.0,376.0,0.61,1.0,2078168600.0,1578307500.0,62.0,1.0,778.0,1.0,40.0,3.0,243.0,3.0,2.432,0.007,0.997,0.297,476.89
37.0,0.0,1.0,477.0,3.0,4.0,6.0,504.0,110.0,98.0,4.0,2100319000.0,0.82,0.0,378.0,0.61,1.0,2048294900.0,1589479800.0,61.0,1.0,778.0,1.0,39.0,3.0,243.0,3.0,0.087,0.006,0.997,0.355,453.623
38.0,0.0,1.0,482.0,3.0,4.0,6.0,474.0,110.0,96.0,4.0,2147483100.0,0.83,0.0,377.0,0.6,1.0,2116759300.0,1582513800.0,61.0,1.0,784.0,1.0,39.0,3.0,242.0,3.0,6.318,0.008,0.998,0.263,452.083
37.0,0.0,1.0,483.0,3.0,4.0,6.0,503.0,112.0,100.0,4.0,2105890600.0,0.81,0.0,400.0,0.61,1.0,2016246500.0,1570379000.0,62.0,1.0,783.0,1.0,39.0,3.0,249.0,3.0,2.106,0.009,0.998,0.25,451.245
37.0,0.0,1.0,492.0,3.0,4.0,6.0,488.0,114.0,97.0,4.0,2147483100.0,0.82,0.0,340.0,0.61,1.0,2079188000.0,1563480300.0,61.0,1.0,778.0,1.0,38.0,3.0,239.0,3.0,6.313,0.009,0.998,0.272,431.592
39.0,0.0,1.0,494.0,3.0,4.0,6.0,486.0,111.0,97.0,4.0,2113357600.0,0.81,0.0,386.0,0.6,1.0,2053368400.0,1581965000.0,60.0,1.0,782.0,1.0,38.0,3.0,245.0,3.0,6.415,0.009,0.998,0.271,412.046
37.0,0.0,1.0,479.0,3.0,4.0,6.0,501.0,110.0,97.0,4.0,2147483100.0,0.81,0.0,384.0,0.63,1.0,2033396400.0,1566096100.0,60.0,1.0,774.0,1.0,38.0,3.0,243.0,3.0,6.239,0.009,0.997,0.286,384.539
