,runtime,spark.executor.cores,spark.kryoserializer.buffer,spark.memory.storageFraction,spark.python.worker.memory,spark.rpc.io.backLog,spark.shuffle.io.numConnectionsPerPeer
1,259.075,7.166975504,112.4250332,0.710553813,731.3168434,126.9306645,2.966292637
2,146.669,6.595261482,113.6287045,0.998661425,941.2232438,100.3063768,3.244120877
3,181.053,4.755743221,112.6459554,0.843250464,782.1258426,74.99777851,3.79903344
4,221.978,7.70635607,48.02592198,0.86429459,665.9900456,68.08222544,3.932374464
5,220.127,9.917901714,46.11564178,0.918441095,590.2675648,75.7134283,3.060915917
6,278.201,4.771636662,82.05331154,0.692484314,260.3181038,67.97485655,4.344314512
7,929.932,1,2,0.5,128,32,1
8,138.45,8.526293919,57.98386025,0.941462147,769.5236134,85.87320921,3.913717898
9,141.242,6.969837544,112.1844101,0.936646579,718.4605867,89.32181397,3.489760708
10,268.765,2.465235922,65.99534149,0.556973138,684.4365206,90.69721935,3.300103055
11,129.463,4.898867918,61.21973846,0.892764594,602.4481816,118.6500845,1.862163133
12,509.72,7.692828139,67.46006029,0.664927341,538.802381,84.92200116,2.316922796
13,921.161,1,2,0.5,128,32,1
14,164.999,7.724038532,40.64358557,0.808754166,442.8861729,125.8433808,3.481167379
15,175.969,3.276280619,57.26825984,0.922811122,594.23123,84.8038193,3.741645142
16,230.78,5.436423347,119.9861288,0.987477762,615.8170527,99.29724504,4.486715698
17,189.675,6.158695246,57.52505069,0.935605039,889.485047,124.9563426,3.594353048
18,316.652,7.38382203,107.4411601,0.944601091,609.2093942,69.29392586,3.812966138
19,272.096,6.390542583,50.35217875,0.920340683,977.2920352,107.3309681,1.475518991
20,192.6,1.681393175,105.6168638,0.587232953,664.9223885,83.53580328,3.644385765
21,253.78,6.803762743,102.5306829,0.998792871,396.0289475,127.3905957,3.811540375
22,287.962,5.40816506,109.1148578,0.85888835,923.6325569,127.9294688,4.006554468
23,240.898,9.025274038,122.3727795,0.954878801,917.5574443,114.3540088,3.904928235
24,254.24,6.834604254,59.07737867,0.995479631,988.2450697,121.9526187,4.634703691
25,453.343,3.476829523,74.09136673,0.748062989,952.6016979,120.8159032,3.067266881
26,1004.5,1.383956856,10.57710579,0.830598953,393.397742,82.25906284,1.914941373
27,582.463,1.943117386,117.0345007,0.909186611,703.148631,43.24135995,3.007464845
28,234.436,9.456076854,117.7148378,0.806590206,645.0978696,91.53594698,4.24817276
29,225.664,8.890120732,30.1503981,0.865730715,632.058,101.8847686,4.370205523
30,229.411,9.343011227,113.1066154,0.678755802,992.7939881,123.1569941,3.16691161
31,260.278,8.414886876,75.39934884,0.958845283,713.0885713,111.9979662,1.34792602
32,317.156,5.263232255,109.3179126,0.710992478,552.9213601,127.0418847,2.842339352
33,279.884,7.39485779,42.79734915,0.991620127,576.9322165,102.7445097,1.638609679
34,245.197,9.96725749,74.5707943,0.906161548,543.26981,113.2902568,2.280516223
35,274.584,7.235907725,51.81842727,0.938708268,660.5337124,127.0376364,2.196887632
36,324.84,5.098305892,57.37506524,0.752785396,636.1984643,112.8752381,3.360128184
37,311.367,4.797542775,73.13857219,0.951731149,425.927331,121.1656948,2.301345901
38,268.358,6.979266536,75.77567294,0.867100045,784.1118828,67.95047094,4.346597779
39,246.107,9.458134965,39.3175883,0.829920295,539.8248016,104.6165878,3.981065362
40,276.181,6.551606291,43.29220897,0.790136532,706.0413231,118.0737874,2.24156339
41,344.478,5.445814313,46.97426689,0.897505933,627.3290341,81.23360511,3.82370821
42,487.627,2.72315914,88.88039453,0.917750463,687.8745111,79.34801835,3.676151123
43,283.62,6.250629904,111.6213223,0.740455591,885.5647369,67.88641026,3.161378015
44,643.488,1.805949682,33.65762611,0.91638149,292.0005687,86.64556392,4.893358211
45,277.484,6.540182899,107.0517404,0.791231452,791.7277867,73.28907055,4.083941294
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
×ÜÊ±¼ä,14495.953,s,,,,,
,241.5992167,min,,,,,
