spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime
1,934,6,3,497,6,39,1,1,308,95,126,4,1334243554,0.79,0.61,0,1085153271,1768916002,53,0,744,0,46,4,244,4,209.646
1,1008,3,1,384,8,58,1,1,358,80,84,6,1660511439,0.54,0.6,0,1269014963,1902051975,46,0,512,0,33,5,220,2,300.603
1,535,4,2,445,8,48,0,0,360,93,118,5,1439489439,0.71,0.87,1,1364761151,1141528201,69,0,594,0,27,4,161,3,210.803
0,0,5,2,396,8,57,1,0,342,75,64,5,1620198784,0.63,0.6,0,1827248640,1675501952,54,1,767,0,20,4,212,2,207.942
0,0,5,2,384,8,58,1,0,346,74,61,5,1638957056,0.63,0.62,0,1814493696,1691712000,56,1,751,0,21,4,214,2,220.532
0,0,5,2,431,8,56,1,0,339,74,67,6,1611314176,0.64,0.63,0,1739004160,1668868992,54,1,759,0,21,4,219,2,216.546
1,777,3,1,384,5,41,1,1,281,75,32,10,1559216093,0.71,0.52,0,1625752830,1917350354,62,1,510,0,38,2,189,4,463.057
1,780,6,3,384,4,37,0,0,378,86,69,10,1936115172,0.73,0.68,1,1549516506,1226244979,52,0,953,1,19,2,205,4,261.291
1,858,4,2,384,8,44,0,0,415,120,107,10,2100041470,0.66,0.89,1,1363244891,1628542065,64,1,814,1,34,1,267,3,217.651
0,0,5,2,392,8,56,1,0,340,76,63,5,1582273152,0.64,0.6,0,1775949568,1646034688,54,0,765,0,21,4,221,2,218.302
0,0,5,2,442,8,56,1,0,344,74,66,5,1632619648,0.64,0.62,0,1863329920,1655123456,54,0,775,0,24,4,226,2,211.907
0,0,5,2,455,8,55,1,0,341,76,62,6,1609564288,0.63,0.63,0,1749739008,1681549056,53,0,747,0,24,4,223,2,215.583
0,0,3,1,384,5,64,1,1,441,32,93,5,1259224103,0.85,0.54,1,2104019338,1333797757,32,0,760,0,37,1,299,4,458.204
0,0,3,1,384,7,38,0,0,431,59,47,8,1535308076,0.54,0.76,0,1925973984,1458157745,64,1,904,1,36,5,207,2,355.582
0,0,5,2,545,7,34,0,0,267,95,100,4,1707870218,0.6,0.89,1,1515335152,1827440905,65,0,923,0,34,1,268,3,238.41
0,0,5,2,449,8,54,1,0,335,74,66,5,1621138176,0.65,0.63,0,1818634752,1646180096,52,1,772,0,24,4,232,2,202.15
0,0,5,2,459,8,55,1,0,348,75,70,5,1637781632,0.67,0.63,0,1823545344,1632220160,54,1,784,0,26,4,229,2,213.448
0,0,5,2,480,8,53,1,0,333,74,66,6,1632354048,0.66,0.62,0,1838151808,1617476736,52,1,759,0,27,4,234,2,218.702
0,0,6,3,692,4,40,1,0,437,71,61,5,1443441567,0.57,0.56,0,1576144181,1487481044,64,0,590,1,47,1,279,3,249.5
0,0,7,3,802,6,36,1,0,425,74,80,8,1591485161,0.51,0.89,0,2046936630,1231044633,66,1,532,1,45,5,276,2,210.039
1,642,3,1,384,6,36,0,0,444,84,126,7,1635501462,0.78,0.8,0,1384740837,1833352131,42,0,681,1,48,5,169,4,382.999
0,0,5,2,452,8,54,1,0,330,74,65,5,1662169344,0.66,0.62,0,1815694336,1650458112,52,0,772,0,25,4,231,2,212.629
